Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,TrendPullback-EMA,8,25.00,-2.52,1.44,-0.90,0.53,-0.84,5.40,-0.32,-0.47,13.56
ADAUSDT,Chandelier-MTF,14,35.71,0.28,1.67,-0.90,1.03,0.05,3.36,0.02,0.08,23.13
APTUSDT,Chandelier-MTF,6,33.33,-0.02,1.67,-0.84,0.99,-0.01,1.55,-0.00,-0.02,21.91
BCHUSDT,TrendPullback-EMA,8,25.00,-1.40,2.16,-0.95,0.76,-0.35,3.24,-0.18,-0.43,17.18
BNBUSDT,Chandelier-MTF,8,50.00,0.03,1.00,-0.99,1.01,0.01,3.05,0.00,0.01,25.46
BTCUSDT,TrendPullback-EMA,6,16.67,-2.47,0.78,-0.65,0.24,-1.73,2.47,-0.41,-1.00,6.13
CFXUSDT,TrendPullback-EMA,3,66.67,0.64,1.19,-1.74,1.37,0.27,1.74,0.21,0.37,0.00
CFXUSDT,Chandelier-MTF,10,10.00,-12.28,0.22,-1.39,0.02,-5.71,12.28,-1.23,-1.00,2.12
DOGEUSDT,TrendPullback-EMA,15,26.67,-1.62,1.96,-0.86,0.83,-0.31,6.29,-0.11,-0.26,18.18
DOGEUSDT,Chandelier-MTF,21,52.38,6.09,1.46,-0.99,1.61,0.80,5.02,0.29,1.21,36.32
ENAUSDT,TrendPullback-EMA,17,23.53,-6.58,2.04,-1.13,0.55,-1.10,10.34,-0.39,-0.64,12.35
ETHUSDT,TrendPullback-EMA,11,18.18,-3.48,1.86,-0.80,0.52,-0.97,4.06,-0.32,-0.86,11.56
ETHUSDT,Chandelier-MTF,18,22.22,-5.55,0.88,-0.65,0.39,-1.53,5.55,-0.31,-1.00,9.11
ICPUSDT,TrendPullback-EMA,5,0.00,-5.03,0.00,-1.01,0.00,-4.34,5.03,-1.01,-1.00,0.00
LTCUSDT,Chandelier-MTF,3,66.67,2.63,1.38,-0.14,19.89,1.63,0.14,0.88,18.89,0.00
SOLUSDT,Chandelier-MTF,9,33.33,-3.91,1.01,-1.16,0.44,-1.01,3.91,-0.43,-1.00,13.84
SUIUSDT,TrendPullback-EMA,12,25.00,-1.56,2.17,-0.90,0.81,-0.32,5.07,-0.13,-0.31,17.66
SUIUSDT,Chandelier-MTF,16,62.50,10.54,1.49,-0.72,3.43,1.73,3.83,0.66,2.75,58.61
TRBUSDT,Chandelier-MTF,10,40.00,6.89,3.31,-1.06,2.08,0.76,4.92,0.69,1.40,40.95
XMRUSDT,TrendPullback-EMA,4,25.00,-0.16,3.15,-1.10,0.95,-0.04,2.24,-0.04,-0.07,0.00
XRPUSDT,Chandelier-MTF,9,22.22,-3.17,1.31,-0.83,0.45,-0.97,3.80,-0.35,-0.84,11.88
