Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,TrendPullback-EMA,17,29.41,-0.75,2.48,-1.10,0.94,-0.10,5.93,-0.04,-0.13,20.39
ADAUSDT,KAMA-Pullback,10,20.00,-4.33,1.80,-0.99,0.45,-1.12,6.01,-0.43,-0.72,10.82
ADAUSDT,Chandelier-MTF,34,50.00,11.51,1.70,-1.02,1.66,1.14,2.98,0.34,3.86,38.14
APTUSDT,TrendPullback-EMA,17,17.65,-10.08,0.56,-0.84,0.14,-3.61,10.21,-0.59,-0.99,4.52
APTUSDT,Supertrend-Quality,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APTUSDT,KAMA-Pullback,13,7.69,-9.44,1.92,-0.95,0.17,-3.19,10.36,-0.73,-0.91,2.72
APTUSDT,Chandelier-MTF,19,31.58,2.60,2.43,-0.92,1.22,0.35,7.61,0.14,0.34,26.00
BCHUSDT,TrendPullback-EMA,9,22.22,-0.23,2.12,-0.64,0.95,-0.06,2.41,-0.03,-0.09,19.17
BCHUSDT,KAMA-Pullback,13,7.69,-6.94,0.87,-0.65,0.11,-3.95,6.94,-0.53,-1.00,2.31
BNBUSDT,TrendPullback-EMA,17,29.41,-3.51,0.73,-0.60,0.51,-1.11,4.50,-0.21,-0.78,13.16
BNBUSDT,Chandelier-MTF,19,36.84,0.37,1.13,-0.63,1.05,0.08,4.52,0.02,0.08,23.57
CFXUSDT,TrendPullback-EMA,19,47.37,2.70,1.50,-1.08,1.25,0.44,3.67,0.14,0.73,29.83
CFXUSDT,KAMA-Pullback,21,47.62,-2.01,0.98,-1.08,0.83,-0.36,8.25,-0.10,-0.24,22.18
CFXUSDT,Chandelier-MTF,20,30.00,-14.40,1.16,-1.53,0.33,-2.10,15.65,-0.72,-0.92,8.28
DOGEUSDT,TrendPullback-EMA,25,32.00,-4.61,1.20,-0.84,0.68,-0.80,6.54,-0.18,-0.70,16.13
DOGEUSDT,KAMA-Pullback,16,50.00,-2.45,0.73,-1.04,0.71,-0.58,7.08,-0.15,-0.35,20.86
DOGEUSDT,Chandelier-MTF,20,35.00,-0.93,1.94,-1.12,0.94,-0.12,9.44,-0.05,-0.10,21.39
ENAUSDT,TrendPullback-EMA,40,35.00,-8.37,1.46,-1.11,0.71,-0.91,13.84,-0.21,-0.60,16.49
ENAUSDT,KAMA-Pullback,20,35.00,-1.20,1.85,-1.09,0.92,-0.17,6.77,-0.06,-0.18,21.05
ENAUSDT,Chandelier-MTF,1,0.00,-0.99,0.00,-0.99,0.00,0.00,0.99,-0.99,-1.00,0.00
ETHUSDT,TrendPullback-EMA,2,0.00,-1.70,0.00,-0.85,0.00,-11.74,1.70,-0.85,-1.00,0.00
ETHUSDT,KAMA-Pullback,27,18.52,-8.32,1.43,-0.70,0.46,-1.76,9.00,-0.31,-0.92,7.94
ETHUSDT,Chandelier-MTF,26,23.08,-8.95,0.69,-0.66,0.32,-2.30,8.95,-0.34,-1.00,6.84
HBARUSDT,TrendPullback-EMA,21,33.33,-6.77,1.39,-1.18,0.59,-0.98,9.36,-0.32,-0.72,15.06
