Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
HBARUSDT,KAMA-Pullback,17,35.29,-0.10,1.42,-0.78,0.99,-0.02,2.95,-0.01,-0.04,22.23
ICPUSDT,TrendPullback-EMA,15,20.00,-5.77,1.29,-0.80,0.40,-1.53,6.90,-0.38,-0.84,8.78
ICPUSDT,KAMA-Pullback,17,29.41,-3.79,1.33,-0.87,0.64,-0.81,5.81,-0.22,-0.65,15.30
ICPUSDT,Chandelier-MTF,9,33.33,-2.33,1.05,-0.91,0.57,-0.71,2.79,-0.26,-0.84,16.04
LTCUSDT,KAMA-Pullback,12,16.67,-4.11,0.84,-0.58,0.29,-2.07,4.11,-0.34,-1.00,5.36
LTCUSDT,Chandelier-MTF,15,33.33,-1.99,1.13,-0.76,0.74,-0.49,4.11,-0.13,-0.49,18.12
QNTUSDT,TrendPullback-EMA,13,61.54,3.18,0.80,-0.65,1.99,1.02,1.23,0.24,2.58,41.27
QNTUSDT,KAMA-Pullback,26,26.92,-6.59,1.55,-0.92,0.62,-1.05,11.08,-0.25,-0.59,13.68
QNTUSDT,Chandelier-MTF,4,0.00,-2.26,0.00,-0.57,0.00,-2.97,2.26,-0.57,-1.00,0.00
SOLUSDT,TrendPullback-EMA,58,34.48,-12.26,1.13,-0.92,0.65,-1.39,14.12,-0.21,-0.87,13.97
SOLUSDT,KAMA-Pullback,49,20.41,-20.30,1.30,-0.85,0.39,-2.97,22.60,-0.41,-0.90,6.82
SOLUSDT,Chandelier-MTF,35,25.71,-13.39,1.79,-1.13,0.55,-1.41,13.45,-0.38,-1.00,11.44
SUIUSDT,TrendPullback-EMA,18,27.78,-6.41,0.89,-0.84,0.41,-1.61,6.93,-0.36,-0.93,10.03
SUIUSDT,Supertrend-Quality,4,0.00,-4.67,0.00,-1.17,0.00,-3.34,4.67,-1.17,-1.00,0.00
SUIUSDT,KAMA-Pullback,15,26.67,-7.31,0.55,-0.87,0.23,-2.49,7.49,-0.49,-0.98,6.96
SUIUSDT,Chandelier-MTF,32,50.00,12.87,1.83,-1.03,1.78,1.14,6.00,0.40,2.15,39.57
TRBUSDT,TrendPullback-EMA,11,9.09,-11.66,0.62,-1.23,0.05,-4.24,11.66,-1.06,-1.00,2.17
TRBUSDT,KAMA-Pullback,25,20.00,-12.41,2.04,-1.13,0.45,-1.76,12.41,-0.50,-1.00,8.14
TRBUSDT,Chandelier-MTF,14,28.57,5.37,3.31,-0.79,1.68,0.58,3.34,0.38,1.61,32.08
XMRUSDT,TrendPullback-EMA,5,20.00,-2.04,2.47,-1.13,0.55,-0.63,3.44,-0.41,-0.59,13.54
XMRUSDT,KAMA-Pullback,4,25.00,-0.53,1.06,-0.53,0.67,-0.37,1.33,-0.13,-0.40,0.00
XMRUSDT,Chandelier-MTF,6,0.00,-4.95,0.00,-0.83,0.00,-3.54,4.95,-0.83,-1.00,0.00
XRPUSDT,TrendPullback-EMA,15,20.00,-5.26,1.21,-0.74,0.41,-1.49,7.24,-0.35,-0.73,8.97
XRPUSDT,KAMA-Pullback,7,0.00,-4.64,0.00,-0.66,0.00,-5.30,4.64,-0.66,-1.00,0.00
XRPUSDT,Chandelier-MTF,9,22.22,-3.17,1.31,-0.83,0.45,-0.97,3.80,-0.35,-0.84,11.88
