Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
ADAUSDT,TrendPullback-EMA,W01,"EMA(13/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",9,33.33,0.18,1.02,0.03,4.31,0.02,22.47
ADAUSDT,TrendPullback-EMA,W09,"EMA(9/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",8,25.00,-0.93,0.80,-0.28,4.64,-0.12,17.76
ADAUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",4,25.00,-0.63,0.75,-0.24,2.55,-0.16,0.00
ADAUSDT,KAMA-Pullback,W03,"KAMA(14) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.0",6,16.67,-3.70,0.31,-1.37,5.38,-0.62,8.15
ADAUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>25 SL×2.0 TP×5.0",9,66.67,8.75,3.37,1.39,2.02,0.97,60.78
ADAUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",4,25.00,-0.66,0.78,-0.22,1.84,-0.17,0.00
ADAUSDT,Chandelier-MTF,W07,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",8,37.50,0.88,1.29,0.30,1.68,0.11,27.21
ADAUSDT,Chandelier-MTF,W08,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",6,50.00,0.35,1.08,0.07,2.43,0.06,26.74
ADAUSDT,Chandelier-MTF,W09,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",7,57.14,2.19,1.73,0.59,1.57,0.31,37.45
APTUSDT,TrendPullback-EMA,W07,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",6,33.33,-0.52,0.74,-0.29,1.33,-0.09,18.96
APTUSDT,TrendPullback-EMA,W08,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",11,9.09,-9.57,0.02,-6.34,9.57,-0.87,1.96
APTUSDT,Supertrend-Quality,W07,"ST(10,2.5) ADX>22 Vol>×1.3 SL×2.0 TP×5.0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APTUSDT,KAMA-Pullback,W01,"KAMA(21) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.0",5,0.00,-5.13,0.00,-13.31,5.13,-1.03,0.00
APTUSDT,KAMA-Pullback,W06,"KAMA(21) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",8,12.50,-4.31,0.31,-1.54,5.23,-0.54,6.58
APTUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",5,20.00,-2.33,0.31,-1.36,2.33,-0.47,8.87
APTUSDT,Chandelier-MTF,W07,"CH(22,2.5) ADX>25 SL×2.0 TP×4.0",3,33.33,-0.10,0.93,-0.06,1.47,-0.03,0.00
APTUSDT,Chandelier-MTF,W08,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",7,14.29,-4.32,0.31,-1.49,4.71,-0.62,7.20
APTUSDT,Chandelier-MTF,W09,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",4,75.00,9.35,11.93,2.48,0.85,2.34,0.00
BCHUSDT,TrendPullback-EMA,W03,"EMA(13/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",4,25.00,-1.24,0.51,-0.65,1.67,-0.31,0.00
BCHUSDT,TrendPullback-EMA,W09,"EMA(13/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",5,20.00,1.02,1.53,0.33,1.17,0.20,26.43
BCHUSDT,KAMA-Pullback,W02,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",1,0.00,-0.62,0.00,0.00,0.62,-0.62,0.00
BCHUSDT,KAMA-Pullback,W05,"KAMA(21) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",4,0.00,-1.72,0.00,-2.89,1.72,-0.43,0.00
BCHUSDT,KAMA-Pullback,W06,"KAMA(21) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",8,12.50,-4.61,0.16,-2.82,4.61,-0.58,3.61
BNBUSDT,TrendPullback-EMA,W09,"EMA(9/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",17,29.41,-3.51,0.51,-1.11,4.50,-0.21,13.16
BNBUSDT,Chandelier-MTF,W07,"CH(22,3.0) ADX>20 SL×2.0 TP×5.0",8,12.50,-1.86,0.40,-1.05,3.09,-0.23,9.26
BNBUSDT,Chandelier-MTF,W09,"CH(14,2.5) ADX>25 SL×2.0 TP×4.0",11,54.55,2.23,1.50,0.54,3.05,0.20,34.02
CFXUSDT,TrendPullback-EMA,W06,"EMA(13/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",9,44.44,0.28,1.04,0.06,3.67,0.03,25.10
CFXUSDT,TrendPullback-EMA,W07,"EMA(13/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",5,40.00,0.01,1.00,0.00,1.94,0.00,23.37
CFXUSDT,TrendPullback-EMA,W08,"EMA(13/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",5,60.00,2.42,2.42,0.79,1.08,0.48,45.35
CFXUSDT,KAMA-Pullback,W04,"KAMA(14) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.0",9,66.67,3.59,2.08,0.93,2.37,0.40,44.09
