Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,TrendPullback-EMA,7,42.86,0.61,1.62,-1.07,1.14,0.17,2.29,0.09,0.26,26.48
ADAUSDT,KAMA-Pullback,23,21.74,-12.40,1.60,-1.13,0.39,-1.97,12.59,-0.54,-0.98,7.21
ADAUSDT,Chandelier-MTF,43,53.49,15.52,1.53,-0.98,1.79,1.47,3.11,0.36,5.00,41.28
APTUSDT,Supertrend-Quality,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APTUSDT,KAMA-Pullback,28,14.29,-15.38,1.68,-0.92,0.30,-2.90,15.38,-0.55,-1.00,4.98
APTUSDT,Chandelier-MTF,19,31.58,1.76,2.36,-0.95,1.14,0.24,7.99,0.09,0.22,24.58
BCHUSDT,TrendPullback-EMA,5,20.00,-0.28,2.94,-0.81,0.91,-0.08,2.07,-0.06,-0.14,18.37
BCHUSDT,KAMA-Pullback,22,18.18,-8.60,1.37,-0.78,0.39,-2.11,9.84,-0.39,-0.87,6.36
BNBUSDT,Chandelier-MTF,19,42.11,1.45,1.07,-0.65,1.20,0.31,4.14,0.08,0.35,27.24
CFXUSDT,TrendPullback-EMA,2,0.00,-2.71,0.00,-1.35,0.00,-4.74,2.71,-1.35,-1.00,0.00
CFXUSDT,KAMA-Pullback,36,30.56,-2.93,1.98,-0.99,0.88,-0.33,10.92,-0.08,-0.27,19.26
CFXUSDT,Chandelier-MTF,17,29.41,-12.49,1.24,-1.56,0.33,-1.89,15.31,-0.73,-0.82,8.66
DOGEUSDT,TrendPullback-EMA,11,36.36,5.48,2.72,-0.77,2.02,0.86,1.98,0.50,2.77,38.30
DOGEUSDT,KAMA-Pullback,23,21.74,-7.16,2.38,-1.06,0.62,-0.95,12.20,-0.31,-0.59,13.09
DOGEUSDT,Chandelier-MTF,21,38.10,-1.01,1.25,-0.85,0.91,-0.15,8.61,-0.05,-0.12,21.68
ENAUSDT,TrendPullback-EMA,17,11.76,-8.84,2.65,-0.94,0.37,-1.59,11.55,-0.52,-0.77,6.67
ENAUSDT,KAMA-Pullback,27,37.04,5.34,2.77,-1.31,1.24,0.49,7.56,0.20,0.71,28.44
ETHUSDT,TrendPullback-EMA,16,18.75,-5.51,1.74,-0.82,0.49,-1.31,5.60,-0.34,-0.98,10.01
ETHUSDT,KAMA-Pullback,26,19.23,-9.69,1.43,-0.80,0.42,-1.94,9.69,-0.37,-1.00,7.08
ETHUSDT,Chandelier-MTF,26,23.08,-8.89,0.67,-0.64,0.31,-2.29,8.89,-0.34,-1.00,6.78
HBARUSDT,TrendPullback-EMA,5,40.00,1.83,3.82,-1.94,1.32,0.26,3.04,0.37,0.60,30.31
HBARUSDT,Supertrend-Quality,4,25.00,-0.87,3.16,-1.34,0.79,-0.20,2.93,-0.22,-0.30,0.00
HBARUSDT,KAMA-Pullback,17,23.53,-1.85,2.12,-0.80,0.82,-0.30,3.78,-0.11,-0.49,17.53
ICPUSDT,TrendPullback-EMA,18,22.22,-7.72,1.75,-1.05,0.48,-1.45,10.11,-0.43,-0.76,10.06
ICPUSDT,KAMA-Pullback,39,17.95,-13.22,1.74,-0.79,0.48,-1.91,16.80,-0.34,-0.79,7.31
ICPUSDT,Chandelier-MTF,14,28.57,-8.20,1.11,-1.26,0.35,-1.68,9.21,-0.59,-0.89,9.50
LTCUSDT,KAMA-Pullback,16,12.50,-8.51,0.84,-0.73,0.16,-3.46,8.51,-0.53,-1.00,3.65
LTCUSDT,Chandelier-MTF,16,25.00,-5.68,1.57,-1.00,0.53,-0.94,6.48,-0.36,-0.88,13.09
QNTUSDT,KAMA-Pullback,21,38.10,2.77,2.27,-1.19,1.18,0.35,5.35,0.13,0.52,27.00
SOLUSDT,TrendPullback-EMA,7,42.86,1.12,1.76,-1.04,1.27,0.28,3.09,0.16,0.36,28.56
SOLUSDT,KAMA-Pullback,45,24.44,-15.78,1.64,-0.99,0.53,-1.90,21.29,-0.35,-0.74,9.04
SOLUSDT,Chandelier-MTF,35,28.57,-11.23,1.85,-1.19,0.62,-1.13,11.23,-0.32,-1.00,13.69
SUIUSDT,TrendPullback-EMA,17,17.65,-6.96,2.12,-0.95,0.48,-1.33,6.96,-0.41,-1.00,9.68
SUIUSDT,KAMA-Pullback,20,15.00,-8.19,1.73,-0.79,0.39,-1.88,8.19,-0.41,-1.00,6.21
SUIUSDT,Chandelier-MTF,28,53.57,13.65,1.80,-1.03,2.02,1.30,3.83,0.49,3.56,43.50
TRBUSDT,KAMA-Pullback,29,17.24,-9.61,3.63,-1.16,0.65,-0.88,15.78,-0.33,-0.61,12.69
TRBUSDT,Chandelier-MTF,14,28.57,5.05,3.31,-0.82,1.62,0.55,3.39,0.36,1.49,31.24
XMRUSDT,TrendPullback-EMA,1,100.00,3.17,3.17,0.00,999.00,0.00,0.00,3.17,0.00,0.00
XMRUSDT,Supertrend-Quality,2,0.00,-2.26,0.00,-1.13,0.00,-463.33,2.26,-1.13,-1.00,0.00
XMRUSDT,KAMA-Pullback,4,0.00,-2.33,0.00,-0.58,0.00,-3.27,2.33,-0.58,-1.00,0.00
XRPUSDT,TrendPullback-EMA,10,30.00,-2.16,1.05,-0.76,0.59,-0.77,3.69,-0.22,-0.58,15.28
XRPUSDT,KAMA-Pullback,22,9.09,-17.46,2.30,-1.10,0.21,-3.12,17.46,-0.79,-1.00,3.28
XRPUSDT,Chandelier-MTF,7,42.86,-1.87,0.86,-1.12,0.58,-0.66,3.38,-0.27,-0.55,18.23
