Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
HBARUSDT,TrendPullback-EMA,W01,"EMA(9/34) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",5,40.00,1.83,1.32,0.26,3.04,0.37,30.31
HBARUSDT,Supertrend-Quality,W05,"ST(14,3.0) ADX>22 Vol>×1.3 SL×2.0 TP×5.0",4,25.00,-0.87,0.79,-0.20,2.93,-0.22,0.00
HBARUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",4,25.00,-0.63,0.87,-0.12,3.78,-0.16,0.00
HBARUSDT,KAMA-Pullback,W02,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",6,16.67,0.17,1.08,0.07,1.37,0.03,19.80
HBARUSDT,KAMA-Pullback,W04,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",7,28.57,-1.38,0.59,-0.63,2.54,-0.20,15.58
ICPUSDT,TrendPullback-EMA,W03,"EMA(9/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",9,33.33,-1.33,0.78,-0.34,3.72,-0.15,19.02
ICPUSDT,TrendPullback-EMA,W05,"EMA(9/21) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",2,50.00,1.12,1.93,0.45,1.21,0.56,0.00
ICPUSDT,TrendPullback-EMA,W06,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",7,0.00,-7.51,0.00,-6.19,7.51,-1.07,0.00
ICPUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",4,25.00,-1.12,0.58,-0.50,2.66,-0.28,0.00
ICPUSDT,KAMA-Pullback,W02,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",11,27.27,-3.28,0.63,-0.67,7.97,-0.30,15.39
ICPUSDT,KAMA-Pullback,W06,"KAMA(21) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.75",13,15.38,-5.88,0.38,-1.55,7.54,-0.45,7.61
ICPUSDT,KAMA-Pullback,W07,"KAMA(14) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.75",11,9.09,-2.95,0.33,-1.42,3.95,-0.27,6.57
ICPUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>25 SL×2.0 TP×5.0",5,20.00,-6.42,0.07,-2.29,6.76,-1.28,4.52
ICPUSDT,Chandelier-MTF,W07,"CH(22,2.5) ADX>20 SL×2.0 TP×5.0",9,33.33,-1.77,0.69,-0.51,2.79,-0.20,17.70
LTCUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.75",4,0.00,-4.40,0.00,-13.74,4.40,-1.10,0.00
LTCUSDT,KAMA-Pullback,W04,"KAMA(21) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",12,16.67,-4.11,0.29,-2.00,4.11,-0.34,5.36
LTCUSDT,Chandelier-MTF,W07,"CH(22,2.5) ADX>20 SL×2.0 TP×5.0",6,16.67,-2.31,0.06,-2.76,2.31,-0.39,3.76
LTCUSDT,Chandelier-MTF,W09,"CH(22,3.0) ADX>25 SL×2.0 TP×4.0",10,30.00,-3.37,0.65,-0.56,4.44,-0.34,16.50
QNTUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",4,50.00,3.69,3.28,1.06,1.62,0.92,0.00
QNTUSDT,KAMA-Pullback,W03,"KAMA(14) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.0",7,28.57,-2.03,0.65,-0.55,3.62,-0.29,16.35
QNTUSDT,KAMA-Pullback,W09,"KAMA(14) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.0",10,40.00,1.10,1.14,0.20,5.35,0.11,26.22
SOLUSDT,TrendPullback-EMA,W08,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",7,42.86,1.12,1.27,0.28,3.09,0.16,28.56
SOLUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",9,0.00,-9.14,0.00,-4.76,9.14,-1.02,0.00
SOLUSDT,KAMA-Pullback,W04,"KAMA(21) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.0",10,20.00,-5.37,0.33,-1.78,6.17,-0.54,7.21
SOLUSDT,KAMA-Pullback,W07,"KAMA(21) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",6,33.33,-0.28,0.91,-0.11,2.94,-0.05,20.87
SOLUSDT,KAMA-Pullback,W08,"KAMA(21) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.0",6,50.00,0.99,1.25,0.24,2.86,0.17,29.70
SOLUSDT,KAMA-Pullback,W09,"KAMA(14) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.75",14,28.57,-1.99,0.79,-0.39,7.49,-0.14,17.97
SOLUSDT,Chandelier-MTF,W01,"CH(22,3.0) ADX>25 SL×2.0 TP×4.0",3,0.00,-5.37,0.00,-4.60,5.37,-1.79,0.00
SOLUSDT,Chandelier-MTF,W02,"CH(22,3.0) ADX>20 SL×2.0 TP×4.0",10,30.00,-2.50,0.68,-0.57,4.68,-0.25,16.69
SOLUSDT,Chandelier-MTF,W08,"CH(22,2.5) ADX>20 SL×2.0 TP×5.0",14,28.57,-1.67,0.86,-0.22,4.24,-0.12,19.18
SOLUSDT,Chandelier-MTF,W09,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",8,37.50,-1.70,0.63,-0.52,3.17,-0.21,18.08
SUIUSDT,TrendPullback-EMA,W03,"EMA(9/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",4,25.00,-2.48,0.36,-1.07,2.60,-0.62,0.00
SUIUSDT,TrendPullback-EMA,W05,"EMA(13/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.0",2,0.00,-1.41,0.00,-2.10,1.41,-0.71,0.00
SUIUSDT,TrendPullback-EMA,W09,"EMA(13/21) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",11,18.18,-3.08,0.62,-0.67,5.30,-0.28,13.51
SUIUSDT,KAMA-Pullback,W03,"KAMA(21) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",2,0.00,-2.56,0.00,-113.09,2.56,-1.28,0.00
SUIUSDT,KAMA-Pullback,W06,"KAMA(21) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.0",13,15.38,-4.71,0.45,-1.27,6.19,-0.36,9.25
SUIUSDT,KAMA-Pullback,W07,"KAMA(21) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.75",5,20.00,-0.92,0.60,-0.50,2.28,-0.18,14.45
SUIUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",3,66.67,3.43,1.99,0.52,3.46,1.14,0.00
SUIUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",6,83.33,7.88,1295.52,2.35,0.01,1.31,82.94
SUIUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",6,50.00,1.20,1.31,0.28,3.83,0.20,30.69
SUIUSDT,Chandelier-MTF,W07,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",6,33.33,1.00,2.05,0.51,0.95,0.17,33.11
SUIUSDT,Chandelier-MTF,W08,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",7,42.86,0.13,1.03,0.03,3.70,0.02,24.39
TRBUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.75",11,18.18,-6.38,0.45,-1.13,8.83,-0.58,10.43
TRBUSDT,KAMA-Pullback,W02,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",5,20.00,-3.06,0.41,-0.97,5.22,-0.61,11.19
TRBUSDT,KAMA-Pullback,W09,"KAMA(21) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",13,15.38,-0.17,0.98,-0.02,6.81,-0.01,18.22
TRBUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>25 SL×2.0 TP×5.0",5,0.00,-3.36,0.00,-10.38,3.36,-0.67,0.00
TRBUSDT,Chandelier-MTF,W03,"CH(22,2.5) ADX>25 SL×2.0 TP×4.0",4,75.00,11.81,55.34,1.81,0.22,2.95,0.00
TRBUSDT,Chandelier-MTF,W09,"CH(22,3.0) ADX>25 SL×2.0 TP×5.0",5,20.00,-3.39,0.27,-1.41,3.39,-0.68,8.34
XMRUSDT,TrendPullback-EMA,W04,"EMA(13/21) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",1,100.00,3.17,999.00,0.00,0.00,3.17,0.00
XMRUSDT,Supertrend-Quality,W04,"ST(10,2.5) ADX>22 Vol>×1.3 SL×2.0 TP×5.0",2,0.00,-2.26,0.00,-463.33,2.26,-1.13,0.00
XMRUSDT,KAMA-Pullback,W05,"KAMA(21) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",4,0.00,-2.33,0.00,-3.27,2.33,-0.58,0.00
XRPUSDT,TrendPullback-EMA,W08,"EMA(13/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.0",10,30.00,-2.16,0.59,-0.77,3.69,-0.22,15.28
XRPUSDT,KAMA-Pullback,W01,"KAMA(21) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.75",15,13.33,-11.58,0.28,-2.08,11.58,-0.77,4.65
XRPUSDT,KAMA-Pullback,W06,"KAMA(14) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.0",7,0.00,-5.88,0.00,-8.65,5.88,-0.84,0.00
XRPUSDT,Chandelier-MTF,W04,"CH(22,3.0) ADX>20 SL×2.0 TP×4.0",7,42.86,-1.87,0.58,-0.66,3.38,-0.27,18.23
