Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
ADAUSDT,TrendPullback-EMA,W09,"EMA(13/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",7,42.86,0.61,1.14,0.17,2.29,0.09,26.48
ADAUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",4,0.00,-3.52,0.00,-2.67,3.52,-0.88,0.00
ADAUSDT,KAMA-Pullback,W05,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",6,0.00,-7.70,0.00,-6.35,7.70,-1.28,0.00
ADAUSDT,KAMA-Pullback,W08,"KAMA(21) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.0",13,38.46,-1.17,0.87,-0.21,5.94,-0.09,21.24
ADAUSDT,Chandelier-MTF,W03,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",9,66.67,1.09,1.34,0.39,2.13,0.12,33.87
ADAUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>25 SL×2.0 TP×5.0",9,66.67,8.75,3.37,1.39,2.02,0.97,60.78
ADAUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",4,25.00,-0.66,0.78,-0.22,1.84,-0.17,0.00
ADAUSDT,Chandelier-MTF,W07,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",8,37.50,1.44,1.59,0.50,1.32,0.18,30.82
ADAUSDT,Chandelier-MTF,W08,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",6,50.00,0.22,1.05,0.04,2.56,0.04,26.23
ADAUSDT,Chandelier-MTF,W09,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",7,57.14,4.68,2.79,1.19,1.80,0.67,50.92
APTUSDT,Supertrend-Quality,W07,"ST(10,2.5) ADX>22 Vol>×1.3 SL×2.0 TP×4.0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APTUSDT,KAMA-Pullback,W01,"KAMA(21) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.0",5,0.00,-5.24,0.00,-15.16,5.24,-1.05,0.00
APTUSDT,KAMA-Pullback,W06,"KAMA(21) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",8,25.00,-2.46,0.62,-0.63,5.50,-0.31,15.04
APTUSDT,KAMA-Pullback,W07,"KAMA(14) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",7,28.57,-0.22,0.92,-0.09,1.88,-0.03,20.12
APTUSDT,KAMA-Pullback,W08,"KAMA(14) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",8,0.00,-7.46,0.00,-4.73,7.46,-0.93,0.00
APTUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",5,20.00,-2.33,0.31,-1.36,2.33,-0.47,8.87
APTUSDT,Chandelier-MTF,W07,"CH(22,2.5) ADX>25 SL×2.0 TP×4.0",3,33.33,-0.18,0.88,-0.10,1.55,-0.06,0.00
APTUSDT,Chandelier-MTF,W08,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",7,14.29,-4.63,0.30,-1.57,5.02,-0.66,6.76
APTUSDT,Chandelier-MTF,W09,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",4,75.00,8.90,11.41,2.44,0.85,2.22,0.00
BCHUSDT,TrendPullback-EMA,W09,"EMA(13/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",5,20.00,-0.28,0.91,-0.08,2.07,-0.06,18.37
BCHUSDT,KAMA-Pullback,W02,"KAMA(21) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",2,50.00,0.28,1.25,0.16,1.13,0.14,0.00
BCHUSDT,KAMA-Pullback,W05,"KAMA(21) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.75",9,0.00,-6.63,0.00,-9.47,6.63,-0.74,0.00
BCHUSDT,KAMA-Pullback,W08,"KAMA(21) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.75",11,27.27,-2.26,0.64,-0.69,3.90,-0.21,15.42
BNBUSDT,Chandelier-MTF,W07,"CH(22,3.0) ADX>20 SL×2.0 TP×5.0",8,25.00,-0.78,0.71,-0.40,2.68,-0.10,16.62
BNBUSDT,Chandelier-MTF,W09,"CH(14,2.5) ADX>25 SL×2.0 TP×4.0",11,54.55,2.23,1.50,0.54,3.05,0.20,34.02
CFXUSDT,TrendPullback-EMA,W07,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.0",2,0.00,-2.71,0.00,-4.74,2.71,-1.35,0.00
CFXUSDT,KAMA-Pullback,W03,"KAMA(14) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.75",6,16.67,-3.23,0.41,-1.01,5.44,-0.54,10.32
CFXUSDT,KAMA-Pullback,W04,"KAMA(14) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.0",9,55.56,3.78,1.99,0.94,2.62,0.42,41.50
CFXUSDT,KAMA-Pullback,W05,"KAMA(21) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.0",12,8.33,-7.14,0.25,-1.88,7.14,-0.60,3.92
CFXUSDT,KAMA-Pullback,W08,"KAMA(21) ADX>18 RSI[42.0,65.0] SL×1.5 TP×3.0",9,44.44,3.66,1.62,0.65,3.34,0.41,35.38
CFXUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",3,0.00,-5.27,0.00,-2.82,5.27,-1.76,0.00
CFXUSDT,Chandelier-MTF,W05,"CH(22,3.0) ADX>20 SL×2.0 TP×4.0",9,22.22,-8.98,0.21,-2.21,8.98,-1.00,5.93
CFXUSDT,Chandelier-MTF,W08,"CH(22,2.5) ADX>25 SL×2.0 TP×4.0",5,60.00,1.77,1.88,0.47,1.05,0.35,38.99
DOGEUSDT,TrendPullback-EMA,W01,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",5,40.00,4.13,2.99,0.84,1.85,0.83,49.00
DOGEUSDT,TrendPullback-EMA,W02,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",2,0.00,-1.34,0.00,-2.15,1.34,-0.67,0.00
DOGEUSDT,TrendPullback-EMA,W05,"EMA(9/34) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",4,50.00,2.69,2.36,0.77,1.98,0.67,0.00
DOGEUSDT,KAMA-Pullback,W01,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",3,66.67,4.58,20.92,2.13,0.23,1.53,0.00
DOGEUSDT,KAMA-Pullback,W02,"KAMA(14) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.0",9,11.11,-8.50,0.11,-3.42,9.55,-0.94,2.99
DOGEUSDT,KAMA-Pullback,W05,"KAMA(14) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",11,18.18,-3.24,0.65,-0.57,5.57,-0.29,14.14
DOGEUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",9,55.56,5.14,2.12,0.86,2.29,0.57,43.59
DOGEUSDT,Chandelier-MTF,W06,"CH(22,2.5) ADX>25 SL×2.0 TP×5.0",4,0.00,-4.50,0.00,-5.42,4.50,-1.12,0.00
DOGEUSDT,Chandelier-MTF,W07,"CH(14,3.0) ADX>25 SL×2.0 TP×5.0",2,0.00,-0.43,0.00,-2.15,0.43,-0.21,0.00
DOGEUSDT,Chandelier-MTF,W09,"CH(22,3.0) ADX>20 SL×2.0 TP×5.0",6,50.00,-1.23,0.20,-1.39,1.39,-0.20,13.91
ENAUSDT,TrendPullback-EMA,W03,"EMA(9/34) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",8,12.50,-1.23,0.69,-0.36,3.94,-0.15,14.13
ENAUSDT,TrendPullback-EMA,W06,"EMA(9/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.0",9,11.11,-7.61,0.25,-1.83,9.96,-0.85,4.70
ENAUSDT,KAMA-Pullback,W03,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.75",5,40.00,3.86,1.88,0.63,4.39,0.77,39.80
ENAUSDT,KAMA-Pullback,W07,"KAMA(21) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",10,40.00,1.77,1.31,0.39,3.24,0.18,28.88
ENAUSDT,KAMA-Pullback,W09,"KAMA(14) ADX>22 RSI[42.0,65.0] SL×1.5 TP×3.75",12,33.33,-0.29,0.98,-0.04,6.31,-0.02,21.67
ETHUSDT,TrendPullback-EMA,W09,"EMA(9/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",16,18.75,-5.51,0.49,-1.31,5.60,-0.34,10.01
ETHUSDT,KAMA-Pullback,W02,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",7,28.57,-3.24,0.46,-0.96,3.24,-0.46,13.22
ETHUSDT,KAMA-Pullback,W06,"KAMA(21) ADX>18 RSI[35.0,60.0] SL×1.5 TP×3.0",10,30.00,-1.05,0.81,-0.30,2.13,-0.11,18.72
ETHUSDT,KAMA-Pullback,W07,"KAMA(14) ADX>22 RSI[35.0,60.0] SL×1.5 TP×3.0",9,0.00,-5.40,0.00,-7.55,5.40,-0.60,0.00
ETHUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",5,20.00,-2.03,0.12,-2.01,2.03,-0.41,4.81
ETHUSDT,Chandelier-MTF,W02,"CH(14,2.5) ADX>25 SL×2.0 TP×4.0",3,33.33,-1.32,0.12,-1.39,1.50,-0.44,0.00
ETHUSDT,Chandelier-MTF,W04,"CH(22,2.5) ADX>20 SL×2.0 TP×5.0",8,12.50,-3.41,0.39,-1.08,3.41,-0.43,9.09
ETHUSDT,Chandelier-MTF,W05,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",4,75.00,0.69,2.06,0.63,0.65,0.17,0.00
ETHUSDT,Chandelier-MTF,W07,"CH(22,2.5) ADX>20 SL×2.0 TP×5.0",6,0.00,-2.83,0.00,-3.43,2.83,-0.47,0.00
