Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,Chandelier-1h,6,16.67,2.56,6.40,-0.77,1.67,0.39,2.39,0.43,1.07,29.25
APTUSDT,Chandelier-1h,5,20.00,-0.37,1.62,-0.50,0.81,-0.19,1.35,-0.07,-0.28,17.24
BCHUSDT,Chandelier-1h,11,36.36,-2.19,0.87,-0.81,0.61,-0.61,3.90,-0.20,-0.56,17.36
BTCUSDT,Chandelier-1h,14,42.86,4.80,1.78,-0.73,1.82,0.71,4.72,0.34,1.02,36.03
CFXUSDT,Chandelier-1h,10,30.00,-0.66,1.06,-0.55,0.83,-0.23,3.10,-0.07,-0.21,19.18
ETHUSDT,Chandelier-1h,3,33.33,0.01,3.13,-1.56,1.00,0.00,3.12,0.00,0.00,0.00
HBARUSDT,Chandelier-1h,2,50.00,-0.94,0.42,-1.36,0.31,-0.75,1.36,-0.47,-0.69,0.00
HBARUSDT,Supertrend-1h,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ICPUSDT,Chandelier-1h,7,42.86,-2.06,1.30,-1.49,0.66,-0.41,5.96,-0.29,-0.34,19.77
LTCUSDT,Chandelier-1h,6,16.67,-5.69,2.65,-1.67,0.32,-1.12,8.34,-0.95,-0.68,9.24
SUIUSDT,Chandelier-1h,7,28.57,1.01,4.20,-1.48,1.14,0.14,3.69,0.14,0.27,24.01
TRBUSDT,Chandelier-1h,9,77.78,16.16,2.54,-0.81,11.01,2.51,0.88,1.80,18.39,87.31
TRBUSDT,Supertrend-1h,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRXUSDT,Chandelier-1h,9,33.33,3.13,1.77,-0.36,2.44,0.64,1.59,0.35,1.96,38.26
XRPUSDT,Chandelier-1h,6,66.67,2.02,0.82,-0.63,2.61,0.94,1.15,0.34,1.75,47.23
