Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
ADAUSDT,Chandelier-1h,W04,"CH(14,2.0) ADX>20 Vol>×1.2 SL×2.0 TP×4.0",5,20.00,3.03,1.90,0.47,2.39,0.61,33.64
ADAUSDT,Chandelier-1h,W05,"CH(14,2.0) ADX>25 Vol>×1.2 SL×2.0 TP×4.0",1,0.00,-0.47,0.00,0.00,0.47,-0.47,0.00
APTUSDT,Chandelier-1h,W03,"CH(22,2.5) ADX>25 Vol>×1.2 SL×2.5 TP×5.5",3,0.00,-1.35,0.00,-2.38,1.35,-0.45,0.00
APTUSDT,Chandelier-1h,W04,"CH(22,2.5) ADX>25 Vol>×1.2 SL×2.5 TP×5.5",2,50.00,0.98,2.52,0.61,0.64,0.49,0.00
BCHUSDT,Chandelier-1h,W02,"CH(22,2.0) ADX>25 Vol>×1.2 SL×2.0 TP×4.0",4,25.00,-0.52,0.53,-0.57,0.63,-0.13,14.66
BCHUSDT,Chandelier-1h,W03,"CH(22,2.0) ADX>25 Vol>×1.2 SL×2.0 TP×4.0",4,50.00,0.36,1.19,0.13,1.87,0.09,28.13
BCHUSDT,Chandelier-1h,W05,"CH(14,2.5) ADX>20 Vol>×1.2 SL×2.5 TP×5.5",3,33.33,-2.03,0.25,-1.05,2.05,-0.68,0.00
BTCUSDT,Chandelier-1h,W03,"CH(22,3.0) ADX>20 Vol>×1.2 SL×3.0 TP×7.0",5,0.00,-3.62,0.00,-4.26,3.62,-0.72,0.00
BTCUSDT,Chandelier-1h,W04,"CH(22,3.0) ADX>25 Vol>×1.2 SL×2.5 TP×7.0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTCUSDT,Chandelier-1h,W07,"CH(22,3.0) ADX>25 Vol>×1.2 SL×3.0 TP×7.0",4,50.00,-0.81,0.58,-0.46,1.92,-0.20,20.47
BTCUSDT,Chandelier-1h,W08,"CH(22,3.0) ADX>25 Vol>×1.2 SL×2.0 TP×5.5",5,80.00,9.24,31.77,1.89,0.30,1.85,85.67
CFXUSDT,Chandelier-1h,W03,"CH(22,2.0) ADX>20 Vol>×1.5 SL×2.0 TP×4.0",7,28.57,-1.12,0.65,-0.43,3.10,-0.16,16.82
CFXUSDT,Chandelier-1h,W05,"CH(22,2.5) ADX>20 Vol>×1.5 SL×2.0 TP×7.0",2,50.00,0.71,2.75,0.66,0.40,0.35,0.00
CFXUSDT,Chandelier-1h,W06,"CH(22,2.5) ADX>25 Vol>×1.5 SL×2.0 TP×7.0",1,0.00,-0.25,0.00,0.00,0.25,-0.25,0.00
ETHUSDT,Chandelier-1h,W08,"CH(14,2.0) ADX>20 Vol>×1.2 SL×2.0 TP×7.0",3,33.33,0.01,1.00,0.00,3.12,0.00,0.00
HBARUSDT,Chandelier-1h,W01,"CH(22,2.0) ADX>25 Vol>×1.2 SL×2.0 TP×4.0",1,100.00,0.42,999.00,0.00,0.00,0.42,0.00
HBARUSDT,Chandelier-1h,W05,"CH(22,2.0) ADX>20 Vol>×1.5 SL×2.0 TP×5.5",1,0.00,-1.36,0.00,0.00,1.36,-1.36,0.00
HBARUSDT,Supertrend-1h,W05,"ST(10,2.0) ADX>20 Vol>×1.2 SL×2.0 TP×5.5",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ICPUSDT,Chandelier-1h,W03,"CH(22,2.5) ADX>20 Vol>×1.2 SL×2.5 TP×7.0",7,42.86,-2.06,0.66,-0.41,5.96,-0.29,19.77
LTCUSDT,Chandelier-1h,W01,"CH(22,2.0) ADX>20 Vol>×1.5 SL×2.0 TP×4.0",1,0.00,-0.43,0.00,0.00,0.43,-0.43,0.00
LTCUSDT,Chandelier-1h,W02,"CH(22,3.0) ADX>20 Vol>×1.2 SL×3.0 TP×7.0",1,0.00,-4.17,0.00,0.00,4.17,-4.17,0.00
LTCUSDT,Chandelier-1h,W05,"CH(14,2.0) ADX>20 Vol>×1.2 SL×2.0 TP×5.5",3,0.00,-3.74,0.00,-2.55,3.74,-1.25,0.00
LTCUSDT,Chandelier-1h,W06,"CH(14,2.0) ADX>20 Vol>×1.2 SL×2.0 TP×5.5",1,100.00,2.65,999.00,0.00,0.00,2.65,0.00
SUIUSDT,Chandelier-1h,W01,"CH(22,2.5) ADX>20 Vol>×1.2 SL×2.0 TP×4.0",3,33.33,2.17,1.59,0.34,2.20,0.72,0.00
SUIUSDT,Chandelier-1h,W06,"CH(14,2.0) ADX>20 Vol>×1.2 SL×2.0 TP×7.0",4,25.00,-1.16,0.69,-0.32,3.69,-0.29,16.80
TRBUSDT,Chandelier-1h,W01,"CH(22,2.0) ADX>25 Vol>×1.2 SL×2.0 TP×7.0",9,77.78,16.16,11.01,2.51,0.88,1.80,87.31
TRBUSDT,Supertrend-1h,W03,"ST(10,2.0) ADX>20 Vol>×1.2 SL×2.5 TP×5.5",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TRXUSDT,Chandelier-1h,W07,"CH(22,2.0) ADX>25 Vol>×1.2 SL×2.0 TP×7.0",6,16.67,2.73,2.29,0.57,1.59,0.45,34.63
TRXUSDT,Chandelier-1h,W08,"CH(14,3.0) ADX>20 Vol>×1.5 SL×2.5 TP×7.0",3,66.67,0.40,7.61,1.38,0.06,0.13,0.00
XRPUSDT,Chandelier-1h,W04,"CH(14,2.5) ADX>25 Vol>×1.2 SL×2.0 TP×5.5",3,66.67,0.30,1.26,0.16,1.15,0.10,0.00
XRPUSDT,Chandelier-1h,W05,"CH(22,2.0) ADX>25 Vol>×1.2 SL×2.0 TP×5.5",3,66.67,1.72,18.53,1.82,0.10,0.57,0.00
