Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
ADAUSDT,TrendPullback-EMA,W05,"EMA(9/21) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",5,0.00,-7.47,0.00,-20.20,7.47,-1.49,0.00
ADAUSDT,TrendPullback-EMA,W06,"EMA(13/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",3,33.33,-1.53,0.47,-0.66,2.88,-0.51,0.00
ADAUSDT,TrendPullback-EMA,W07,"EMA(9/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",2,50.00,0.69,4.01,0.85,0.23,0.35,0.00
ADAUSDT,TrendPullback-EMA,W09,"EMA(13/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",7,42.86,0.61,1.14,0.17,2.29,0.09,26.48
ADAUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>18 SL×2.0 TP×3.0",3,66.67,4.79,6.68,1.39,0.84,1.60,0.00
ADAUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>18 SL×2.0 TP×3.0",2,50.00,1.21,3.80,0.83,0.43,0.60,0.00
ADAUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>18 SL×2.0 TP×5.0",1,0.00,-0.61,0.00,0.00,0.61,-0.61,0.00
APTUSDT,TrendPullback-EMA,W04,"EMA(13/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",3,0.00,-3.11,0.00,-8.72,3.11,-1.04,0.00
APTUSDT,TrendPullback-EMA,W08,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",9,11.11,-6.39,0.15,-2.55,7.52,-0.71,3.27
BCHUSDT,TrendPullback-EMA,W03,"EMA(9/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",1,0.00,-1.17,0.00,0.00,1.17,-1.17,0.00
BCHUSDT,TrendPullback-EMA,W08,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.0",8,50.00,1.02,1.33,0.38,3.06,0.13,30.51
BCHUSDT,TrendPullback-EMA,W09,"EMA(13/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",5,20.00,-0.28,0.91,-0.08,2.07,-0.06,18.37
BCHUSDT,Chandelier-MTF,W04,"CH(14,2.5) ADX>18 SL×2.0 TP×5.0",4,25.00,-1.98,0.08,-2.45,2.16,-0.49,0.00
BNBUSDT,TrendPullback-EMA,W01,"EMA(13/21) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",6,33.33,-1.44,0.64,-0.54,3.31,-0.24,17.22
BTCUSDT,TrendPullback-EMA,W09,"EMA(13/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",7,14.29,-2.82,0.24,-1.97,2.82,-0.40,4.64
BTCUSDT,Chandelier-MTF,W01,"CH(22,2.5) ADX>18 SL×2.0 TP×4.0",4,25.00,-1.47,0.37,-0.77,2.35,-0.37,0.00
BTCUSDT,Chandelier-MTF,W05,"CH(22,2.5) ADX>22 SL×2.0 TP×4.0",1,0.00,-0.43,0.00,0.00,0.43,-0.43,0.00
BTCUSDT,Chandelier-MTF,W06,"CH(22,2.5) ADX>18 SL×2.0 TP×5.0",6,33.33,-0.22,0.87,-0.13,1.03,-0.04,20.58
BTCUSDT,Chandelier-MTF,W07,"CH(22,2.5) ADX>18 SL×2.0 TP×5.0",3,0.00,-1.24,0.00,-3.06,1.24,-0.41,0.00
CFXUSDT,TrendPullback-EMA,W02,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",4,25.00,0.55,1.20,0.15,1.73,0.14,0.00
CFXUSDT,TrendPullback-EMA,W05,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.0",13,15.38,-2.82,0.72,-0.44,7.89,-0.22,14.57
CFXUSDT,TrendPullback-EMA,W07,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.0",2,0.00,-2.71,0.00,-4.74,2.71,-1.35,0.00
CFXUSDT,Chandelier-MTF,W08,"CH(22,2.5) ADX>22 SL×2.0 TP×3.0",1,0.00,-1.20,0.00,0.00,1.20,-1.20,0.00
DOGEUSDT,TrendPullback-EMA,W01,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",5,40.00,4.13,2.99,0.84,1.85,0.83,49.00
DOGEUSDT,TrendPullback-EMA,W02,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",2,0.00,-1.34,0.00,-2.15,1.34,-0.67,0.00
DOGEUSDT,TrendPullback-EMA,W05,"EMA(9/34) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",4,50.00,2.69,2.36,0.77,1.98,0.67,0.00
DOGEUSDT,TrendPullback-EMA,W06,"EMA(9/34) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",4,50.00,1.37,1.60,0.45,2.27,0.34,0.00
DOGEUSDT,TrendPullback-EMA,W07,"EMA(13/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",11,27.27,-1.84,0.74,-0.44,6.77,-0.17,17.09
DOGEUSDT,TrendPullback-EMA,W08,"EMA(13/34) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",11,27.27,-1.10,0.83,-0.27,4.26,-0.10,18.46
DOGEUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>18 SL×2.0 TP×5.0",7,57.14,-0.26,0.90,-0.12,1.19,-0.04,25.56
DOGEUSDT,Chandelier-MTF,W06,"CH(22,2.5) ADX>18 SL×2.0 TP×5.0",1,0.00,-1.44,0.00,0.00,1.44,-1.44,0.00
DOGEUSDT,Chandelier-MTF,W07,"CH(22,2.5) ADX>18 SL×2.0 TP×5.0",5,40.00,-1.12,0.62,-0.47,2.96,-0.22,18.72
DOGEUSDT,Chandelier-MTF,W09,"CH(22,2.5) ADX>18 SL×2.0 TP×3.0",4,25.00,-3.21,0.12,-1.64,3.66,-0.80,0.00
ENAUSDT,TrendPullback-EMA,W03,"EMA(9/34) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",8,12.50,-1.23,0.69,-0.36,3.94,-0.15,14.13
ENAUSDT,TrendPullback-EMA,W04,"EMA(9/34) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.0",8,12.50,-4.99,0.37,-1.21,7.91,-0.62,8.35
