Symbol,Strategy,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL%,ExitReason,HoldingMin
ADAUSDT,TrendPullback-EMA,long,2025-07-12T04:15:00.000Z,2025-07-12T06:30:00.000Z,0.7289643,0.7202940284948812,-1.37,ATR Stop,135
ADAUSDT,TrendPullback-EMA,long,2025-07-15T07:45:00.000Z,2025-07-15T08:00:00.000Z,0.73966965,0.7295677435903216,-1.55,ATR Stop,15
ADAUSDT,TrendPullback-EMA,long,2025-07-21T19:00:00.000Z,2025-07-21T19:00:00.000Z,0.89754855,0.8880249798284957,-1.24,ATR Stop,0
ADAUSDT,TrendPullback-EMA,long,2025-07-21T20:30:00.000Z,2025-07-21T21:30:00.000Z,0.9020507999999999,0.8887792575590814,-1.65,ATR Stop,60
ADAUSDT,TrendPullback-EMA,long,2025-07-22T09:45:00.000Z,2025-07-22T11:45:00.000Z,0.88834395,0.8751320261278684,-1.67,ATR Stop,120
ADAUSDT,TrendPullback-EMA,long,2025-08-08T20:15:00.000Z,2025-08-09T00:00:00.000Z,0.7981988999999999,0.8104130861931813,1.35,Target,225
ADAUSDT,TrendPullback-EMA,long,2025-08-09T21:00:00.000Z,2025-08-09T21:15:00.000Z,0.81610785,0.8088086651764211,-1.07,ATR Stop,15
ADAUSDT,TrendPullback-EMA,long,2025-08-15T17:15:00.000Z,2025-08-15T17:45:00.000Z,0.9525760499999999,0.9370733577092031,-1.81,ATR Stop,30
ADAUSDT,TrendPullback-EMA,short,2025-09-24T15:15:00.000Z,2025-09-24T19:15:00.000Z,0.8178908500000001,0.8088788371423395,0.92,Target,240
ADAUSDT,TrendPullback-EMA,short,2025-09-26T00:45:00.000Z,2025-09-26T07:15:00.000Z,0.7710143,0.77139980715,-0.23,ATR Stop,390
ADAUSDT,TrendPullback-EMA,short,2025-11-01T16:45:00.000Z,2025-11-01T17:45:00.000Z,0.60759605,0.6113654320876452,-0.80,ATR Stop,60
ADAUSDT,TrendPullback-EMA,short,2025-11-05T20:00:00.000Z,2025-11-05T20:15:00.000Z,0.53503235,0.5404146850177486,-1.19,ATR Stop,15
ADAUSDT,TrendPullback-EMA,short,2025-11-08T04:30:00.000Z,2025-11-08T08:45:00.000Z,0.575712,0.5633061046636789,1.97,Target,255
ADAUSDT,TrendPullback-EMA,short,2025-11-09T04:30:00.000Z,2025-11-09T05:15:00.000Z,0.5529234000000001,0.5580496437815236,-1.11,ATR Stop,45
ADAUSDT,TrendPullback-EMA,short,2025-11-18T19:00:00.000Z,2025-11-18T19:15:00.000Z,0.4705646,0.47523669236714783,-1.17,ATR Stop,15
ADAUSDT,TrendPullback-EMA,short,2025-11-19T08:15:00.000Z,2025-11-19T10:15:00.000Z,0.4655671,0.4572586830377108,1.60,Target,120
ADAUSDT,TrendPullback-EMA,short,2025-11-26T03:45:00.000Z,2025-11-26T06:45:00.000Z,0.41909035000000006,0.4129126312506897,1.29,Target,180
ADAUSDT,Chandelier-MTF,short,2025-03-10T08:15:00.000Z,2025-03-10T08:45:00.000Z,0.72373795,0.6932968790657085,4.03,Target,30
ADAUSDT,Chandelier-MTF,long,2025-03-26T02:30:00.000Z,2025-03-26T04:15:00.000Z,0.76808385,0.7629852710493871,-0.84,ATR Stop,105
ADAUSDT,Chandelier-MTF,short,2025-03-29T01:00:00.000Z,2025-03-29T04:15:00.000Z,0.6868564,0.6745756782397418,1.61,Target,195
ADAUSDT,Chandelier-MTF,long,2025-07-03T20:15:00.000Z,2025-07-03T21:00:00.000Z,0.60080025,0.5992931185401927,-0.43,ATR Stop,45
ADAUSDT,Chandelier-MTF,long,2025-07-10T11:15:00.000Z,2025-07-10T12:15:00.000Z,0.63961965,0.6512491892998392,1.64,Target,60
ADAUSDT,Chandelier-MTF,short,2025-08-02T09:30:00.000Z,2025-08-02T11:30:00.000Z,0.7024486,0.7054682208757315,-0.61,ATR Stop,120
APTUSDT,TrendPullback-EMA,short,2025-05-31T19:30:00.000Z,2025-05-31T19:45:00.000Z,4.72713525,4.764219280606129,-0.96,ATR Stop,15
APTUSDT,TrendPullback-EMA,long,2025-06-27T21:00:00.000Z,2025-06-27T21:15:00.000Z,4.92536145,4.869335782545706,-1.32,ATR Stop,15
APTUSDT,TrendPullback-EMA,long,2025-06-29T02:00:00.000Z,2025-06-29T02:45:00.000Z,4.8094035,4.778185042794878,-0.83,ATR Stop,45
APTUSDT,TrendPullback-EMA,short,2025-09-29T18:45:00.000Z,2025-09-30T03:15:00.000Z,4.2714632,4.215704494914336,1.13,Target,510
APTUSDT,TrendPullback-EMA,short,2025-09-30T10:00:00.000Z,2025-09-30T10:45:00.000Z,4.21319235,4.25370173342461,-1.14,ATR Stop,45
APTUSDT,TrendPullback-EMA,long,2025-10-07T20:00:00.000Z,2025-10-07T22:00:00.000Z,5.3379676499999995,5.266641178258679,-1.52,ATR Stop,120
APTUSDT,TrendPullback-EMA,short,2025-10-12T03:30:00.000Z,2025-10-12T04:15:00.000Z,3.55452185,3.6002995618784244,-1.47,ATR Stop,45
