Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,TrendPullback-EMA,17,29.41,-7.71,1.43,-1.24,0.48,-1.46,10.61,-0.45,-0.73,11.49
ADAUSDT,Chandelier-MTF,6,50.00,5.39,2.42,-0.63,3.86,1.27,0.84,0.90,6.39,59.63
APTUSDT,TrendPullback-EMA,12,8.33,-9.50,1.13,-0.97,0.11,-3.68,9.50,-0.79,-1.00,2.41
BCHUSDT,TrendPullback-EMA,14,35.71,-0.44,1.40,-0.83,0.94,-0.10,5.13,-0.03,-0.09,21.66
BCHUSDT,Chandelier-MTF,4,25.00,-1.98,0.18,-0.72,0.08,-2.45,2.16,-0.49,-0.92,0.00
BNBUSDT,TrendPullback-EMA,6,33.33,-1.44,1.26,-0.99,0.64,-0.54,3.31,-0.24,-0.43,17.22
BTCUSDT,TrendPullback-EMA,7,14.29,-2.82,0.87,-0.62,0.24,-1.97,2.82,-0.40,-1.00,4.64
BTCUSDT,Chandelier-MTF,14,21.43,-3.36,0.81,-0.53,0.42,-1.25,3.36,-0.24,-1.00,10.33
CFXUSDT,TrendPullback-EMA,19,15.79,-4.97,3.47,-0.96,0.68,-0.65,8.91,-0.26,-0.56,13.50
CFXUSDT,Chandelier-MTF,1,0.00,-1.20,0.00,-1.20,0.00,0.00,1.20,-1.20,-1.00,0.00
DOGEUSDT,TrendPullback-EMA,37,32.43,3.90,2.09,-0.85,1.18,0.42,6.77,0.11,0.58,25.91
DOGEUSDT,Chandelier-MTF,17,41.18,-6.03,0.66,-1.06,0.43,-1.45,6.96,-0.35,-0.87,13.54
ENAUSDT,TrendPullback-EMA,29,10.34,-19.41,2.74,-1.06,0.30,-2.72,22.12,-0.67,-0.88,4.15
ETHUSDT,TrendPullback-EMA,25,20.00,-7.50,2.12,-0.91,0.59,-1.16,10.59,-0.30,-0.71,11.61
ETHUSDT,Chandelier-MTF,11,18.18,-5.75,1.18,-0.90,0.29,-1.63,5.75,-0.52,-1.00,7.23
HBARUSDT,TrendPullback-EMA,15,26.67,-1.17,2.44,-0.99,0.89,-0.16,7.27,-0.08,-0.16,19.27
ICPUSDT,TrendPullback-EMA,18,22.22,-7.72,1.75,-1.05,0.48,-1.45,10.11,-0.43,-0.76,10.06
LTCUSDT,TrendPullback-EMA,2,50.00,1.09,2.12,-1.04,2.05,0.49,1.04,0.54,1.05,0.00
LTCUSDT,Chandelier-MTF,2,0.00,-2.03,0.00,-1.02,0.00,-23.40,2.03,-1.02,-1.00,0.00
QNTUSDT,TrendPullback-EMA,6,16.67,-3.89,0.52,-0.88,0.12,-2.48,3.89,-0.65,-1.00,4.16
SOLUSDT,TrendPullback-EMA,34,26.47,-7.22,1.83,-0.95,0.70,-0.94,14.03,-0.21,-0.51,14.57
SOLUSDT,Chandelier-MTF,22,31.82,-1.54,1.63,-0.86,0.88,-0.21,6.29,-0.07,-0.24,19.97
SUIUSDT,TrendPullback-EMA,30,20.00,-11.39,1.99,-0.97,0.51,-1.58,12.19,-0.38,-0.93,9.32
SUIUSDT,Chandelier-MTF,6,50.00,2.42,1.71,-0.90,1.89,0.52,2.01,0.40,1.20,37.81
TRBUSDT,TrendPullback-EMA,25,12.00,-22.27,2.75,-1.39,0.27,-2.98,24.72,-0.89,-0.90,4.29
TRBUSDT,Chandelier-MTF,11,36.36,-3.95,0.20,-0.68,0.17,-2.13,4.45,-0.36,-0.89,8.46
TRXUSDT,Chandelier-MTF,3,66.67,0.64,0.62,-0.59,2.08,0.65,0.59,0.21,1.08,0.00
XMRUSDT,TrendPullback-EMA,5,40.00,2.34,2.37,-0.80,1.97,0.63,2.41,0.47,0.97,37.43
XMRUSDT,Chandelier-MTF,1,0.00,-1.14,0.00,-1.14,0.00,0.00,1.14,-1.14,-1.00,0.00
XRPUSDT,TrendPullback-EMA,23,26.09,-5.54,1.17,-0.74,0.56,-1.22,6.53,-0.24,-0.85,12.37
XRPUSDT,Chandelier-MTF,17,29.41,-1.45,1.33,-0.67,0.82,-0.32,3.62,-0.09,-0.40,18.62
