Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,TrendPullback-EMA,3,33.33,-1.53,1.35,-1.44,0.47,-0.66,2.88,-0.51,-0.53,0.00
ADAUSDT,Chandelier-MTF,2,0.00,-1.81,0.00,-0.90,0.00,-4.35,1.81,-0.90,-1.00,0.00
APTUSDT,Chandelier-MTF,7,28.57,-1.08,2.03,-1.03,0.79,-0.29,5.15,-0.15,-0.21,18.38
BCHUSDT,TrendPullback-EMA,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BCHUSDT,Chandelier-MTF,10,40.00,-1.04,1.05,-0.87,0.80,-0.32,2.50,-0.10,-0.42,20.60
BNBUSDT,Chandelier-MTF,8,50.00,0.92,1.22,-0.99,1.23,0.24,3.05,0.12,0.30,29.13
BTCUSDT,TrendPullback-EMA,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTCUSDT,Chandelier-MTF,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOGEUSDT,TrendPullback-EMA,2,50.00,2.20,2.43,-0.23,10.58,1.17,0.23,1.10,9.58,0.00
DOGEUSDT,Chandelier-MTF,11,45.45,-3.19,0.49,-0.94,0.43,-1.13,4.39,-0.29,-0.73,15.74
ENAUSDT,TrendPullback-EMA,13,15.38,-4.29,5.24,-1.34,0.71,-0.47,14.77,-0.33,-0.29,14.43
ETHUSDT,TrendPullback-EMA,7,28.57,0.72,1.86,-0.60,1.24,0.24,1.97,0.10,0.37,24.74
ICPUSDT,TrendPullback-EMA,5,0.00,-5.39,0.00,-1.08,0.00,-4.81,5.39,-1.08,-1.00,0.00
ICPUSDT,Chandelier-MTF,6,33.33,-5.35,0.13,-1.40,0.05,-2.39,5.35,-0.89,-1.00,6.99
LTCUSDT,Chandelier-MTF,1,0.00,-1.48,0.00,-1.48,0.00,0.00,1.48,-1.48,-1.00,0.00
SOLUSDT,TrendPullback-EMA,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SOLUSDT,Chandelier-MTF,7,28.57,-1.77,1.41,-0.92,0.61,-0.54,3.24,-0.25,-0.55,16.09
SUIUSDT,TrendPullback-EMA,2,0.00,-2.47,0.00,-1.24,0.00,-8.92,2.47,-1.24,-1.00,0.00
SUIUSDT,Chandelier-MTF,18,44.44,4.55,1.94,-1.10,1.41,0.57,5.94,0.25,0.77,32.03
TRBUSDT,Chandelier-MTF,7,57.14,9.55,3.03,-0.86,4.72,1.16,2.35,1.36,4.07,71.32
XMRUSDT,TrendPullback-EMA,9,22.22,0.32,2.29,-0.61,1.07,0.08,4.03,0.04,0.08,21.00
XMRUSDT,Chandelier-MTF,3,0.00,-2.49,0.00,-0.83,0.00,-2.57,2.49,-0.83,-1.00,0.00
XRPUSDT,TrendPullback-EMA,4,25.00,-1.32,1.05,-0.79,0.44,-0.76,2.37,-0.33,-0.56,0.00
XRPUSDT,Chandelier-MTF,15,33.33,-5.30,0.70,-0.88,0.40,-1.45,6.08,-0.35,-0.87,11.75
