Symbol,Strategy,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL%,ExitReason,HoldingMin
APTUSDT,Chandelier-MTF,short,2025-04-04T11:00:00.000Z,2025-04-04T14:00:00.000Z,4.773612,4.905068815888474,-2.93,ATR Stop,180
APTUSDT,Chandelier-MTF,short,2025-04-05T09:00:00.000Z,2025-04-05T18:00:00.000Z,4.8155909999999995,4.836257419467474,-0.61,ATR Stop,540
APTUSDT,Chandelier-MTF,long,2025-04-24T22:00:00.000Z,2025-04-24T23:00:00.000Z,5.364480899999999,5.439400684942408,1.22,ATR Stop,60
APTUSDT,Chandelier-MTF,short,2025-11-24T01:00:00.000Z,2025-11-24T11:00:00.000Z,2.3104442,2.306785767764669,-0.02,ATR Stop,600
APTUSDT,Chandelier-MTF,short,2025-11-25T01:00:00.000Z,2025-11-25T10:00:00.000Z,2.2793597500000002,2.2607446978701606,0.64,ATR Stop,540
BCHUSDT,Chandelier-MTF,long,2025-04-13T05:00:00.000Z,2025-04-13T06:00:00.000Z,347.07345,349.63478934769813,0.56,ATR Stop,60
BCHUSDT,Chandelier-MTF,long,2025-04-15T02:00:00.000Z,2025-04-15T05:00:00.000Z,336.26805,330.9304959907013,-1.77,ATR Stop,180
BCHUSDT,Chandelier-MTF,long,2025-05-10T02:00:00.000Z,2025-05-10T02:00:00.000Z,419.70975,417.81823026066746,-0.63,ATR Stop,0
BCHUSDT,Chandelier-MTF,long,2025-05-10T07:00:00.000Z,2025-05-10T19:00:00.000Z,417.83881499999995,421.03757842228276,0.59,ATR Stop,720
BCHUSDT,Chandelier-MTF,long,2025-05-23T02:00:00.000Z,2025-05-23T02:00:00.000Z,438.589185,438.89122752613605,-0.11,ATR Stop,0
BCHUSDT,Chandelier-MTF,long,2025-05-23T04:00:00.000Z,2025-05-23T04:00:00.000Z,439.589685,438.7912493058388,-0.36,ATR Stop,0
DOGEUSDT,Chandelier-MTF,short,2025-03-11T09:00:00.000Z,2025-03-11T09:00:00.000Z,0.15574209,0.15461619893620437,0.54,ATR Stop,0
DOGEUSDT,Chandelier-MTF,short,2025-03-12T10:00:00.000Z,2025-03-12T13:00:00.000Z,0.16369811,0.1648045128743316,-0.86,ATR Stop,180
DOGEUSDT,Chandelier-MTF,short,2025-04-07T10:00:00.000Z,2025-04-07T11:00:00.000Z,0.14591700500000002,0.14001451827878117,3.87,ATR Stop,60
DOGEUSDT,Chandelier-MTF,long,2025-04-23T11:00:00.000Z,2025-04-23T11:00:00.000Z,0.17819905499999997,0.17810855625076327,-0.23,ATR Stop,0
DOGEUSDT,Chandelier-MTF,long,2025-05-10T21:00:00.000Z,2025-05-10T22:00:00.000Z,0.24251119499999998,0.2487207622791341,2.38,ATR Stop,60
DOGEUSDT,Chandelier-MTF,long,2025-05-12T10:00:00.000Z,2025-05-12T10:00:00.000Z,0.23504746499999998,0.24030409245873433,2.06,ATR Stop,0
DOGEUSDT,Chandelier-MTF,long,2025-05-14T04:00:00.000Z,2025-05-14T04:00:00.000Z,0.235307595,0.2339113962587966,-0.77,ATR Stop,0
LTCUSDT,Chandelier-MTF,short,2025-03-05T10:00:00.000Z,2025-03-05T10:00:00.000Z,100.66964,101.99375899385913,-1.50,ATR Stop,0
LTCUSDT,Chandelier-MTF,short,2025-03-06T08:00:00.000Z,2025-03-06T09:00:00.000Z,105.53720500000001,105.72458546444706,-0.36,ATR Stop,60
LTCUSDT,Chandelier-MTF,short,2025-03-07T11:00:00.000Z,2025-03-07T11:00:00.000Z,102.61866500000001,102.2091162197245,0.22,ATR Stop,0
LTCUSDT,Chandelier-MTF,short,2025-03-10T05:00:00.000Z,2025-03-10T05:00:00.000Z,95.90202500000001,97.34361891014336,-1.68,ATR Stop,0
LTCUSDT,Chandelier-MTF,short,2025-03-11T08:00:00.000Z,2025-03-11T09:00:00.000Z,88.51572,87.27831409117373,1.22,ATR Stop,60
LTCUSDT,Chandelier-MTF,short,2025-03-12T09:00:00.000Z,2025-03-12T11:00:00.000Z,89.65515,89.72262293953754,-0.26,ATR Stop,120
LTCUSDT,Chandelier-MTF,short,2025-03-13T09:00:00.000Z,2025-03-13T19:00:00.000Z,88.87554,88.81552905771554,-0.11,ATR Stop,600
LTCUSDT,Chandelier-MTF,short,2025-03-30T09:00:00.000Z,2025-03-30T09:00:00.000Z,85.49723000000002,85.13332069280365,0.25,ATR Stop,0
LTCUSDT,Chandelier-MTF,short,2025-03-30T23:00:00.000Z,2025-03-31T04:00:00.000Z,84.727615,81.2881256268742,3.88,Target,300
LTCUSDT,Chandelier-MTF,short,2025-04-07T10:00:00.000Z,2025-04-07T11:00:00.000Z,69.5652,66.55845874197331,4.14,ATR Stop,60
LTCUSDT,Chandelier-MTF,short,2025-04-09T06:00:00.000Z,2025-04-09T07:00:00.000Z,70.3648,69.1079457996203,1.61,ATR Stop,60
LTCUSDT,Chandelier-MTF,long,2025-04-24T10:00:00.000Z,2025-04-24T21:00:00.000Z,83.26160999999999,83.0541114986281,-0.43,ATR Stop,660
TRXUSDT,Chandelier-MTF,short,2025-10-10T18:00:00.000Z,2025-10-10T19:00:00.000Z,0.31989997000000003,0.30384794861720993,4.84,ATR Stop,60
TRXUSDT,Chandelier-MTF,short,2025-10-13T10:00:00.000Z,2025-10-13T12:00:00.000Z,0.320249795,0.32093225456056396,-0.39,ATR Stop,120
TRXUSDT,Chandelier-MTF,short,2025-10-14T10:00:00.000Z,2025-10-14T11:00:00.000Z,0.311034405,0.3119460465708333,-0.47,ATR Stop,60
TRXUSDT,Chandelier-MTF,short,2025-10-25T23:00:00.000Z,2025-10-26T04:00:00.000Z,0.294442705,0.29605391596422526,-0.73,ATR Stop,300
