Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
APTUSDT,Chandelier-MTF,W02,"CH(22,2.0) ADX>25 SL×2.0 TP×4.0",3,33.33,-2.33,0.34,-0.79,3.54,-0.78,0.00
APTUSDT,Chandelier-MTF,W09,"CH(22,2.0) ADX>30 SL×2.0 TP×5.0",2,50.00,0.62,29.40,1.32,0.02,0.31,0.00
BCHUSDT,Chandelier-MTF,W02,"CH(22,2.0) ADX>30 SL×2.0 TP×5.0",2,50.00,-1.21,0.32,-0.74,1.77,-0.60,0.00
BCHUSDT,Chandelier-MTF,W03,"CH(22,2.0) ADX>25 SL×2.0 TP×4.0",4,25.00,-0.52,0.53,-0.57,0.63,-0.13,0.00
DOGEUSDT,Chandelier-MTF,W01,"CH(22,2.5) ADX>25 SL×2.0 TP×6.0",2,50.00,-0.31,0.63,-0.32,0.86,-0.16,0.00
DOGEUSDT,Chandelier-MTF,W02,"CH(22,2.5) ADX>25 SL×2.0 TP×6.0",2,50.00,3.63,16.75,1.25,0.23,1.82,0.00
DOGEUSDT,Chandelier-MTF,W03,"CH(22,2.0) ADX>25 SL×2.0 TP×4.0",3,66.67,3.66,5.74,1.49,0.77,1.22,0.00
LTCUSDT,Chandelier-MTF,W01,"CH(22,2.0) ADX>25 SL×2.0 TP×4.0",9,44.44,1.66,1.42,0.36,3.32,0.18,30.52
LTCUSDT,Chandelier-MTF,W02,"CH(22,2.0) ADX>25 SL×2.0 TP×4.0",3,66.67,5.32,13.39,1.64,0.43,1.77,0.00
TRXUSDT,Chandelier-MTF,W08,"CH(22,2.0) ADX>30 SL×2.0 TP×4.0",4,25.00,3.24,3.04,0.70,1.59,0.81,0.00
