Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
ADAUSDT,TrendPullback-EMA,W09,"EMA(13/34) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",7,42.86,2.00,1.47,0.48,2.28,0.29,32.03
APTUSDT,Chandelier-MTF,W03,"CH(22,2.0) ADX>20 Vol>×1.5 SL×2.0 TP×4.0",6,16.67,-3.13,0.24,-1.63,3.61,-0.52,6.59
BCHUSDT,Chandelier-MTF,W05,"CH(14,2.0) ADX>20 Vol>×1.2 SL×1.5 TP×7.0",6,16.67,0.26,1.13,0.11,1.97,0.04,20.47
BCHUSDT,TrendPullback-EMA,W09,"EMA(13/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×5.25",5,20.00,0.98,1.31,0.22,2.07,0.20,24.34
DOGEUSDT,TrendPullback-EMA,W01,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×5.25",5,40.00,6.80,4.27,1.03,1.85,1.36,64.10
DOGEUSDT,TrendPullback-EMA,W02,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×5.25",2,0.00,-1.34,0.00,-2.15,1.34,-0.67,0.00
DOGEUSDT,TrendPullback-EMA,W08,"EMA(13/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×5.25",11,9.09,-4.85,0.37,-1.29,5.63,-0.44,7.36
ENAUSDT,Chandelier-MTF,W07,"CH(22,2.0) ADX>20 Vol>×1.2 SL×1.5 TP×7.0",10,30.00,-3.82,0.27,-1.84,4.54,-0.38,8.57
ENAUSDT,TrendPullback-EMA,W06,"EMA(9/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×5.25",9,11.11,-5.49,0.46,-0.92,9.96,-0.61,9.95
ENAUSDT,TrendPullback-EMA,W07,"EMA(9/21) ADX>25 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×5.25",9,33.33,2.36,1.41,0.44,3.24,0.26,29.34
ETHUSDT,TrendPullback-EMA,W09,"EMA(9/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×5.25",16,18.75,-3.15,0.71,-0.58,5.60,-0.20,14.59
HBARUSDT,TrendPullback-EMA,W01,"EMA(9/34) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×5.25",5,20.00,-3.37,0.44,-0.81,3.37,-0.67,12.05
HBARUSDT,TrendPullback-EMA,W04,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×5.25",7,14.29,-2.02,0.46,-0.86,2.49,-0.29,10.81
HBARUSDT,TrendPullback-EMA,W08,"EMA(9/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×5.25",6,33.33,0.98,1.19,0.18,4.45,0.16,25.73
ICPUSDT,TrendPullback-EMA,W03,"EMA(9/34) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×5.25",9,33.33,0.82,1.14,0.17,3.72,0.09,24.58
ICPUSDT,TrendPullback-EMA,W05,"EMA(9/21) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×5.25",2,0.00,-1.44,0.00,-2.08,1.44,-0.72,0.00
ICPUSDT,TrendPullback-EMA,W06,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",7,0.00,-7.51,0.00,-6.19,7.51,-1.07,0.00
SOLUSDT,TrendPullback-EMA,W08,"EMA(9/21) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×5.25",7,28.57,1.63,1.37,0.33,3.09,0.23,27.33
SUIUSDT,TrendPullback-EMA,W09,"EMA(13/21) ADX>25 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×5.25",11,18.18,1.00,1.12,0.14,5.30,0.09,21.33
