Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
CFXUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",52,28.85,-18.00,0.55,-1.66,25.65,-0.35,11.07
DOGEUSDT,TrendPullback-EMA,W01,"EMA(13/21) ADX>20 RSI[35.0,60.0] Vol>×1.2 SL×1.5 TP×3.75",66,28.79,0.01,1.00,0.00,12.24,0.00,21.10
ETHUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",62,29.03,-4.59,0.85,-0.45,10.86,-0.07,18.22
HBARUSDT,TrendPullback-EMA,W01,"EMA(9/34) ADX>20 RSI[40.0,65.0] Vol>×1.2 SL×1.5 TP×3.75",59,23.73,-16.35,0.67,-1.30,22.47,-0.28,12.33
ICPUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>25 SL×2.0 TP×5.0",39,35.90,-4.33,0.86,-0.27,15.63,-0.11,20.42
SOLUSDT,Chandelier-MTF,W01,"CH(22,3.0) ADX>25 SL×2.0 TP×4.0",28,50.00,2.70,1.12,0.27,6.89,0.10,28.29
SUIUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",60,53.33,22.33,1.73,1.59,8.34,0.37,41.50
TRBUSDT,Chandelier-MTF,W01,"CH(14,2.5) ADX>25 SL×2.0 TP×5.0",34,26.47,-13.73,0.46,-1.69,13.73,-0.40,9.78
