Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
CFXUSDT,Chandelier-MTF,52,28.85,-18.00,1.48,-1.09,0.55,-1.66,25.65,-0.35,-0.70,11.07
DOGEUSDT,TrendPullback-EMA,66,28.79,0.01,2.12,-0.86,1.00,0.00,12.24,0.00,0.00,21.10
ETHUSDT,Chandelier-MTF,62,29.03,-4.59,1.46,-0.70,0.85,-0.45,10.86,-0.07,-0.42,18.22
HBARUSDT,TrendPullback-EMA,59,23.73,-16.35,2.32,-1.09,0.67,-1.30,22.47,-0.28,-0.73,12.33
ICPUSDT,Chandelier-MTF,39,35.90,-4.33,1.95,-1.27,0.86,-0.27,15.63,-0.11,-0.28,20.42
SOLUSDT,Chandelier-MTF,28,50.00,2.70,1.76,-1.56,1.12,0.27,6.89,0.10,0.39,28.29
SUIUSDT,Chandelier-MTF,60,53.33,22.33,1.65,-1.09,1.73,1.59,8.34,0.37,2.68,41.50
TRBUSDT,Chandelier-MTF,34,26.47,-13.73,1.29,-1.01,0.46,-1.69,13.73,-0.40,-1.00,9.78
