Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Score
LTCUSDT,TripleEMA-MTF,W07,"EMA(9/34/89) ATR×3.0",6,50.00,2.24,2.15,0.58,1.93,39.55
LTCUSDT,TripleEMA-MTF,W08,"EMA(9/34/89) ATR×3.0",11,18.18,3.98,1.55,0.36,3.89,27.91
LTCUSDT,TripleEMA-MTF,W09,"EMA(9/34/89) ATR×2.5",12,8.33,-8.94,0.01,-4.88,8.94,1.71
LTCUSDT,TripleEMA-MTF,W10,"EMA(9/34/89) ATR×2.5",17,5.88,-8.99,0.07,-5.08,8.99,1.67
LTCUSDT,TripleEMA-MTF,W11,"EMA(5/21/55) ATR×2.0",23,13.04,-11.26,0.12,-4.56,11.26,3.47
LTCUSDT,TripleEMA-MTF,W12,"EMA(13/34/89) ATR×3.0",8,25.00,-3.27,0.61,-0.60,4.37,15.11
LTCUSDT,TripleEMA-MTF,W13,"EMA(9/34/89) ATR×2.0",16,12.50,-10.24,0.39,-1.64,11.58,6.69
LTCUSDT,Supertrend-MTF,W01,"ST(10,3.0) ATR×2.5",6,16.67,-3.18,0.66,-0.42,6.91,14.57
LTCUSDT,Supertrend-MTF,W02,"ST(10,3.0) ATR×2.5",12,33.33,8.19,1.86,0.61,3.61,37.38
LTCUSDT,Supertrend-MTF,W03,"ST(10,3.0) ATR×2.5",10,20.00,-8.07,0.14,-2.73,8.42,4.96
LTCUSDT,Supertrend-MTF,W04,"ST(7,3.0) ATR×2.5",5,40.00,2.82,1.95,0.48,1.70,37.61
LTCUSDT,Supertrend-MTF,W05,"ST(7,3.0) ATR×2.5",11,27.27,-1.76,0.76,-0.36,4.25,17.64
LTCUSDT,Supertrend-MTF,W06,"ST(7,3.0) ATR×2.5",13,23.08,-3.10,0.62,-0.67,4.38,14.54
LTCUSDT,Supertrend-MTF,W07,"ST(7,3.0) ATR×2.5",8,50.00,-0.32,0.93,-0.09,2.29,24.44
LTCUSDT,Supertrend-MTF,W08,"ST(10,2.0) ATR×2.5",18,11.11,-20.31,0.03,-6.97,20.53,2.43
LTCUSDT,Supertrend-MTF,W09,"ST(7,3.0) ATR×2.0",14,21.43,-7.24,0.09,-3.35,7.24,4.95
LTCUSDT,Supertrend-MTF,W10,"ST(7,2.0) ATR×1.5",18,16.67,-8.35,0.04,-5.14,8.35,3.63
LTCUSDT,Supertrend-MTF,W11,"ST(7,2.0) ATR×1.5",22,18.18,-5.58,0.53,-1.25,8.53,10.51
LTCUSDT,Supertrend-MTF,W12,"ST(7,2.5) ATR×2.5",11,36.36,0.76,1.08,0.10,5.43,24.28
LTCUSDT,Supertrend-MTF,W13,"ST(7,3.0) ATR×2.0",12,41.67,-1.02,0.91,-0.14,8.31,22.46
LTCUSDT,Donchian-MTF,W01,"Don(55) ATR×2.0",28,28.57,-13.12,0.53,-1.18,19.13,12.85
LTCUSDT,Donchian-MTF,W02,"Don(55) ATR×3.0",18,33.33,6.06,1.33,0.32,10.12,29.05
LTCUSDT,Donchian-MTF,W03,"Don(20) ATR×3.0",25,20.00,-14.95,0.33,-2.25,15.34,6.32
LTCUSDT,Donchian-MTF,W04,"Don(20) ATR×3.0",23,30.43,-12.70,0.50,-1.41,20.89,12.06
LTCUSDT,Donchian-MTF,W05,"Don(55) ATR×3.0",13,38.46,1.94,1.21,0.20,6.16,26.80
LTCUSDT,Donchian-MTF,W06,"Don(55) ATR×3.0",19,21.05,-7.81,0.43,-1.40,7.81,9.71
LTCUSDT,Donchian-MTF,W07,"Don(55) ATR×2.5",23,30.43,1.12,1.08,0.14,9.27,23.04
LTCUSDT,Donchian-MTF,W08,"Don(20) ATR×3.0",24,16.67,-16.02,0.49,-1.23,20.39,9.99
LTCUSDT,Donchian-MTF,W09,"Don(55) ATR×3.0",20,15.00,-12.40,0.49,-1.32,15.16,9.25
LTCUSDT,Donchian-MTF,W10,"Don(20) ATR×3.0",22,27.27,-9.50,0.43,-1.84,10.13,9.13
LTCUSDT,Donchian-MTF,W11,"Don(55) ATR×2.5",17,29.41,8.05,1.71,0.64,4.62,33.58
LTCUSDT,Donchian-MTF,W12,"Don(55) ATR×3.0",16,31.25,-7.04,0.59,-0.81,12.93,15.35
LTCUSDT,Donchian-MTF,W13,"Don(55) ATR×3.0",14,35.71,-3.03,0.72,-0.44,7.72,18.70
LTCUSDT,HullMA-Cross,W01,"Hull(16/34) ATR×2.5",61,29.51,-19.01,0.62,-1.45,19.50,12.52
LTCUSDT,HullMA-Cross,W02,"Hull(16/34) ATR×2.5",66,28.79,-8.88,0.79,-0.66,22.83,16.84
LTCUSDT,HullMA-Cross,W03,"Hull(16/34) ATR×2.0",60,20.00,-28.25,0.29,-3.91,30.17,6.02
LTCUSDT,HullMA-Cross,W04,"Hull(16/34) ATR×2.0",64,26.56,-12.67,0.67,-1.10,13.99,13.75
LTCUSDT,HullMA-Cross,W05,"Hull(16/34) ATR×1.5",72,16.67,-21.75,0.32,-3.72,23.43,5.59
LTCUSDT,HullMA-Cross,W06,"Hull(21/34) ATR×2.5",63,19.05,-27.99,0.26,-4.39,29.09,5.66
LTCUSDT,HullMA-Cross,W07,"Hull(16/55) ATR×2.0",61,31.15,-9.90,0.68,-1.10,16.70,14.75
LTCUSDT,HullMA-Cross,W08,"Hull(16/55) ATR×2.0",56,28.57,-16.43,0.57,-1.60,22.06,11.33
LTCUSDT,HullMA-Cross,W09,"Hull(21/55) ATR×2.5",41,29.27,-12.84,0.57,-1.45,16.85,12.09
LTCUSDT,HullMA-Cross,W10,"Hull(21/55) ATR×2.5",46,21.74,-21.21,0.19,-4.73,21.21,5.65
LTCUSDT,HullMA-Cross,W11,"Hull(16/34) ATR×2.5",62,25.81,-13.99,0.52,-1.73,15.65,9.89
LTCUSDT,HullMA-Cross,W12,"Hull(21/55) ATR×2.5",41,34.15,6.28,1.20,0.32,10.15,26.43
LTCUSDT,HullMA-Cross,W13,"Hull(21/55) ATR×2.5",42,28.57,-10.92,0.67,-1.01,18.47,14.56
LTCUSDT,Vortex-Cross,W01,"Vortex(14) ATR×2.0",86,22.09,-31.15,0.36,-3.54,31.42,6.92
LTCUSDT,Vortex-Cross,W02,"Vortex(14) ATR×2.5",83,22.89,-8.82,0.76,-0.72,17.68,15.24
LTCUSDT,Vortex-Cross,W03,"Vortex(14) ATR×2.0",87,13.79,-46.26,0.14,-7.07,47.33,3.77
LTCUSDT,Vortex-Cross,W04,"Vortex(28) ATR×2.5",57,22.81,-20.70,0.41,-2.55,21.75,7.43
LTCUSDT,Vortex-Cross,W05,"Vortex(14) ATR×2.0",83,24.10,-19.69,0.51,-2.31,19.69,8.40
LTCUSDT,Vortex-Cross,W06,"Vortex(14) ATR×2.5",93,15.05,-35.40,0.27,-4.53,36.03,4.88
LTCUSDT,Vortex-Cross,W07,"Vortex(14) ATR×2.5",77,22.08,-11.19,0.71,-1.00,19.30,13.56
LTCUSDT,Vortex-Cross,W08,"Vortex(28) ATR×2.0",61,22.95,-28.44,0.24,-4.29,33.12,6.24
LTCUSDT,Vortex-Cross,W09,"Vortex(28) ATR×2.0",60,15.00,-29.90,0.17,-6.13,29.90,4.17
LTCUSDT,Vortex-Cross,W10,"Vortex(21) ATR×2.0",85,12.94,-30.60,0.15,-7.38,32.37,3.65
LTCUSDT,Vortex-Cross,W11,"Vortex(21) ATR×2.0",67,16.42,-26.73,0.15,-6.44,27.97,4.36
LTCUSDT,Vortex-Cross,W12,"Vortex(21) ATR×2.5",63,17.46,-27.50,0.26,-3.69,27.50,5.34
LTCUSDT,Vortex-Cross,W13,"Vortex(28) ATR×2.0",58,25.86,1.84,1.05,0.12,9.80,21.66
LTCUSDT,PSAR-Trail,W01,"PSAR(0.02/0.015/0.2) ATR×2.5",62,27.42,-26.99,0.50,-2.01,34.42,8.96
LTCUSDT,PSAR-Trail,W02,"PSAR(0.01/0.015/0.3) ATR×2.5",50,22.00,-21.84,0.49,-1.51,24.41,9.89
LTCUSDT,PSAR-Trail,W03,"PSAR(0.01/0.015/0.2) ATR×2.5",50,30.00,-20.31,0.42,-2.48,24.78,8.95
LTCUSDT,PSAR-Trail,W04,"PSAR(0.01/0.015/0.2) ATR×1.5",52,17.31,-27.99,0.37,-3.22,29.90,6.04
LTCUSDT,PSAR-Trail,W05,"PSAR(0.01/0.015/0.2) ATR×2.0",50,32.00,-8.58,0.67,-1.04,9.51,15.10
LTCUSDT,PSAR-Trail,W06,"PSAR(0.01/0.015/0.2) ATR×2.0",59,22.03,-18.68,0.50,-1.90,24.54,8.35
LTCUSDT,PSAR-Trail,W07,"PSAR(0.01/0.015/0.2) ATR×2.0",54,24.07,-26.43,0.40,-2.63,26.76,7.62
LTCUSDT,PSAR-Trail,W08,"PSAR(0.01/0.015/0.3) ATR×2.5",53,30.19,-22.14,0.49,-2.15,24.25,9.49
LTCUSDT,PSAR-Trail,W09,"PSAR(0.01/0.015/0.2) ATR×2.5",54,12.96,-27.41,0.33,-3.22,27.66,4.88
LTCUSDT,PSAR-Trail,W10,"PSAR(0.01/0.015/0.2) ATR×2.5",53,24.53,-17.98,0.36,-3.16,19.64,7.45
LTCUSDT,PSAR-Trail,W11,"PSAR(0.01/0.015/0.2) ATR×2.0",60,18.33,-17.40,0.49,-1.85,18.68,7.73
LTCUSDT,PSAR-Trail,W12,"PSAR(0.01/0.02/0.3) ATR×2.5",55,30.91,-12.38,0.71,-0.88,18.20,15.79
LTCUSDT,PSAR-Trail,W13,"PSAR(0.01/0.02/0.3) ATR×2.5",56,26.79,-2.59,0.93,-0.18,11.00,19.47
QNTUSDT,TripleEMA-MTF,W01,"EMA(5/21/55) ATR×3.0",27,33.33,-1.63,0.91,-0.16,5.60,20.68
QNTUSDT,TripleEMA-MTF,W02,"EMA(9/34/89) ATR×2.5",20,25.00,-3.03,0.73,-0.53,7.32,16.25
QNTUSDT,TripleEMA-MTF,W03,"EMA(13/34/89) ATR×2.5",12,25.00,-5.13,0.52,-1.02,6.67,12.71
QNTUSDT,TripleEMA-MTF,W04,"EMA(13/34/89) ATR×3.0",25,16.00,-13.70,0.40,-1.88,14.06,6.51
QNTUSDT,TripleEMA-MTF,W05,"EMA(9/21/89) ATR×2.0",23,43.48,0.41,1.03,0.05,6.02,24.64
QNTUSDT,TripleEMA-MTF,W06,"EMA(9/21/89) ATR×3.0",18,22.22,-9.27,0.35,-1.93,9.27,7.18
QNTUSDT,TripleEMA-MTF,W07,"EMA(13/21/89) ATR×2.0",14,35.71,1.15,1.22,0.28,2.98,26.02
QNTUSDT,TripleEMA-MTF,W08,"EMA(9/34/55) ATR×2.0",10,70.00,5.67,3.25,1.64,1.41,57.58
QNTUSDT,TripleEMA-MTF,W09,"EMA(9/34/89) ATR×3.0",17,29.41,-3.66,0.60,-0.91,4.88,14.58
QNTUSDT,TripleEMA-MTF,W10,"EMA(9/34/89) ATR×3.0",15,40.00,-3.19,0.62,-0.84,3.19,17.12
QNTUSDT,TripleEMA-MTF,W11,"EMA(9/34/89) ATR×2.0",11,18.18,-4.14,0.18,-2.49,4.24,4.91
QNTUSDT,TripleEMA-MTF,W12,"EMA(13/21/89) ATR×2.0",16,25.00,-11.59,0.26,-2.54,11.79,6.81
QNTUSDT,TripleEMA-MTF,W13,"EMA(9/21/89) ATR×1.5",14,21.43,-4.95,0.40,-1.46,6.65,9.34
QNTUSDT,Supertrend-MTF,W01,"ST(14,2.0) ATR×2.0",19,31.58,-10.99,0.20,-2.67,10.99,7.69
QNTUSDT,Supertrend-MTF,W02,"ST(7,2.0) ATR×2.0",16,31.25,-2.09,0.80,-0.32,5.81,18.84
QNTUSDT,Supertrend-MTF,W03,"ST(14,2.5) ATR×2.5",18,27.78,-2.34,0.78,-0.41,5.25,17.67
QNTUSDT,Supertrend-MTF,W04,"ST(14,2.5) ATR×2.5",23,30.43,-15.26,0.39,-1.97,17.19,8.94
QNTUSDT,Supertrend-MTF,W05,"ST(10,2.0) ATR×2.0",25,44.00,-4.09,0.69,-0.78,8.16,18.75
QNTUSDT,Supertrend-MTF,W06,"ST(14,2.5) ATR×2.0",17,35.29,-4.09,0.65,-0.70,8.15,16.98
QNTUSDT,Supertrend-MTF,W07,"ST(10,2.0) ATR×2.5",24,20.83,-8.31,0.46,-1.51,8.31,9.40
QNTUSDT,Supertrend-MTF,W08,"ST(14,2.5) ATR×2.0",18,38.89,-5.29,0.60,-0.97,7.87,16.26
QNTUSDT,Supertrend-MTF,W09,"ST(10,3.0) ATR×2.5",7,28.57,-4.06,0.21,-2.05,4.06,7.18
QNTUSDT,Supertrend-MTF,W10,"ST(10,3.0) ATR×2.0",13,30.77,-3.08,0.49,-1.07,3.18,13.46
QNTUSDT,Supertrend-MTF,W11,"ST(10,3.0) ATR×1.5",13,23.08,-6.84,0.07,-3.38,6.84,5.09
QNTUSDT,Supertrend-MTF,W12,"ST(14,3.0) ATR×2.5",11,18.18,-7.15,0.42,-1.19,8.29,9.97
QNTUSDT,Supertrend-MTF,W13,"ST(14,2.5) ATR×2.0",16,25.00,-11.55,0.18,-3.01,11.55,6.23
QNTUSDT,Donchian-MTF,W01,"Don(55) ATR×2.0",26,23.08,-11.84,0.48,-1.61,13.12,9.58
QNTUSDT,Donchian-MTF,W02,"Don(55) ATR×3.0",19,21.05,-7.23,0.55,-0.81,7.65,13.06
QNTUSDT,Donchian-MTF,W03,"Don(55) ATR×2.5",20,40.00,-9.73,0.23,-2.53,10.90,9.58
QNTUSDT,Donchian-MTF,W04,"Don(55) ATR×2.5",26,26.92,-16.52,0.45,-1.81,22.17,9.33
QNTUSDT,Donchian-MTF,W05,"Don(55) ATR×2.5",25,28.00,-15.90,0.33,-2.63,16.82,7.89
QNTUSDT,Donchian-MTF,W06,"Don(10) ATR×3.0",29,27.59,-7.11,0.73,-0.65,13.97,16.27
QNTUSDT,Donchian-MTF,W07,"Don(55) ATR×3.0",21,14.29,-14.62,0.16,-3.64,15.63,3.97
QNTUSDT,Donchian-MTF,W08,"Don(55) ATR×3.0",22,18.18,-14.86,0.46,-1.38,18.79,9.46
QNTUSDT,Donchian-MTF,W09,"Don(20) ATR×3.0",28,10.71,-27.69,0.05,-7.63,27.69,2.46
QNTUSDT,Donchian-MTF,W10,"Don(10) ATR×2.0",42,16.67,-18.85,0.24,-4.03,21.56,5.00
QNTUSDT,Donchian-MTF,W11,"Don(10) ATR×1.5",43,32.56,-14.02,0.40,-2.51,14.42,9.32
QNTUSDT,Donchian-MTF,W12,"Don(20) ATR×3.0",18,27.78,6.41,1.39,0.41,5.79,28.90
QNTUSDT,Donchian-MTF,W13,"Don(55) ATR×2.5",17,35.29,4.09,1.27,0.35,6.90,28.12
QNTUSDT,HullMA-Cross,W01,"Hull(16/55) ATR×2.5",54,33.33,-12.93,0.66,-1.22,15.63,14.51
QNTUSDT,HullMA-Cross,W02,"Hull(16/55) ATR×2.5",45,20.00,-23.04,0.39,-2.63,23.47,6.70
QNTUSDT,HullMA-Cross,W03,"Hull(16/55) ATR×2.5",43,27.91,-7.25,0.62,-1.20,10.14,13.30
QNTUSDT,HullMA-Cross,W04,"Hull(21/34) ATR×2.0",60,30.00,-13.24,0.68,-1.25,21.89,13.87
QNTUSDT,HullMA-Cross,W05,"Hull(21/34) ATR×1.5",55,32.73,-9.22,0.67,-1.18,11.56,14.61
QNTUSDT,HullMA-Cross,W06,"Hull(16/55) ATR×2.0",50,32.00,-9.08,0.69,-0.87,19.99,15.91
QNTUSDT,HullMA-Cross,W07,"Hull(16/55) ATR×2.5",49,24.49,-14.53,0.45,-2.15,19.05,8.07
QNTUSDT,HullMA-Cross,W08,"Hull(21/55) ATR×2.5",44,40.91,2.93,1.13,0.33,9.62,26.48
QNTUSDT,HullMA-Cross,W09,"Hull(21/55) ATR×2.0",37,27.03,-10.37,0.46,-2.03,10.79,8.64
QNTUSDT,HullMA-Cross,W10,"Hull(21/55) ATR×2.5",34,23.53,-10.98,0.39,-2.38,12.84,7.43
QNTUSDT,HullMA-Cross,W11,"Hull(21/55) ATR×2.0",38,39.47,-0.73,0.95,-0.11,4.75,22.38
QNTUSDT,HullMA-Cross,W12,"Hull(21/55) ATR×2.5",35,42.86,-2.00,0.91,-0.16,11.94,22.61
QNTUSDT,HullMA-Cross,W13,"Hull(21/55) ATR×2.0",43,18.60,-12.67,0.67,-0.69,15.31,13.85
QNTUSDT,Vortex-Cross,W01,"Vortex(14) ATR×1.5",93,25.81,-21.61,0.52,-2.39,22.56,8.79
QNTUSDT,Vortex-Cross,W02,"Vortex(14) ATR×1.5",84,22.62,-24.74,0.38,-2.34,31.37,7.19
QNTUSDT,Vortex-Cross,W03,"Vortex(14) ATR×2.5",65,20.00,-28.08,0.27,-4.45,28.60,5.91
QNTUSDT,Vortex-Cross,W04,"Vortex(14) ATR×2.0",88,27.27,-18.11,0.58,-1.87,18.30,10.09
QNTUSDT,Vortex-Cross,W05,"Vortex(14) ATR×1.5",75,26.67,-4.44,0.83,-0.54,11.40,17.26
QNTUSDT,Vortex-Cross,W06,"Vortex(21) ATR×2.0",66,34.85,-2.63,0.91,-0.25,7.74,20.65
QNTUSDT,Vortex-Cross,W07,"Vortex(21) ATR×2.0",62,20.97,-13.02,0.55,-1.73,13.20,9.16
QNTUSDT,Vortex-Cross,W08,"Vortex(21) ATR×2.0",59,27.12,-12.79,0.52,-2.04,17.04,9.08
QNTUSDT,Vortex-Cross,W09,"Vortex(21) ATR×2.5",72,19.44,-24.18,0.34,-3.14,24.18,6.30
QNTUSDT,Vortex-Cross,W10,"Vortex(21) ATR×2.5",69,24.64,-12.73,0.48,-2.37,16.68,8.28
QNTUSDT,Vortex-Cross,W11,"Vortex(21) ATR×2.5",65,26.15,-13.11,0.56,-1.62,13.85,10.78
QNTUSDT,Vortex-Cross,W12,"Vortex(21) ATR×2.5",76,15.79,-44.14,0.12,-5.65,44.14,3.98
QNTUSDT,Vortex-Cross,W13,"Vortex(14) ATR×2.0",91,19.78,-23.20,0.62,-1.14,23.77,11.85
QNTUSDT,PSAR-Trail,W01,"PSAR(0.01/0.02/0.3) ATR×2.0",55,30.91,-26.57,0.41,-2.80,26.63,9.05
QNTUSDT,PSAR-Trail,W02,"PSAR(0.01/0.02/0.3) ATR×2.0",58,27.59,-33.03,0.35,-3.20,33.03,7.97
QNTUSDT,PSAR-Trail,W03,"PSAR(0.01/0.02/0.3) ATR×2.0",54,27.78,-20.57,0.42,-2.79,23.91,8.51
QNTUSDT,PSAR-Trail,W04,"PSAR(0.01/0.02/0.2) ATR×2.0",64,34.38,-15.07,0.68,-1.28,20.62,14.62
QNTUSDT,PSAR-Trail,W05,"PSAR(0.02/0.015/0.3) ATR×2.5",58,31.03,-15.45,0.59,-1.73,20.61,11.50
QNTUSDT,PSAR-Trail,W06,"PSAR(0.02/0.02/0.3) ATR×2.5",75,37.33,-6.93,0.83,-0.59,18.95,19.18
QNTUSDT,PSAR-Trail,W07,"PSAR(0.02/0.015/0.3) ATR×1.5",53,22.64,-20.52,0.38,-2.85,20.52,7.20
QNTUSDT,PSAR-Trail,W08,"PSAR(0.01/0.015/0.3) ATR×2.5",59,33.90,-13.23,0.69,-1.23,16.27,14.80
QNTUSDT,PSAR-Trail,W09,"PSAR(0.01/0.015/0.3) ATR×2.5",52,25.00,-24.28,0.29,-4.24,26.21,7.02
QNTUSDT,PSAR-Trail,W10,"PSAR(0.01/0.015/0.2) ATR×2.5",50,32.00,-17.56,0.34,-3.40,19.14,8.77
QNTUSDT,PSAR-Trail,W11,"PSAR(0.01/0.015/0.3) ATR×2.0",49,44.90,3.05,1.14,0.34,6.20,27.31
QNTUSDT,PSAR-Trail,W12,"PSAR(0.01/0.015/0.3) ATR×2.0",43,27.91,-9.09,0.72,-0.77,19.28,15.78
QNTUSDT,PSAR-Trail,W13,"PSAR(0.01/0.015/0.3) ATR×2.0",48,22.92,-30.37,0.40,-2.73,30.46,7.40
SOLUSDT,TripleEMA-MTF,W01,"EMA(13/21/89) ATR×1.5",16,31.25,-3.48,0.74,-0.44,8.54,17.97
SOLUSDT,TripleEMA-MTF,W02,"EMA(13/34/89) ATR×2.0",9,0.00,-11.04,0.00,-6.25,11.04,0.00
SOLUSDT,TripleEMA-MTF,W03,"EMA(5/21/55) ATR×2.0",25,28.00,-10.46,0.36,-2.21,10.46,8.12
SOLUSDT,TripleEMA-MTF,W04,"EMA(5/34/89) ATR×2.0",13,0.00,-8.28,0.00,-7.55,8.28,0.00
SOLUSDT,TripleEMA-MTF,W05,"EMA(5/21/89) ATR×2.0",34,23.53,-6.98,0.59,-1.18,10.14,12.30
SOLUSDT,TripleEMA-MTF,W06,"EMA(13/34/89) ATR×2.5",14,35.71,3.75,1.42,0.42,3.45,29.82
SOLUSDT,TripleEMA-MTF,W07,"EMA(9/34/89) ATR×2.5",20,20.00,-7.49,0.47,-1.44,10.89,9.64
SOLUSDT,TripleEMA-MTF,W08,"EMA(9/34/89) ATR×3.0",15,26.67,-2.72,0.77,-0.36,8.52,17.56
SOLUSDT,TripleEMA-MTF,W09,"EMA(9/34/55) ATR×3.0",11,45.45,-0.96,0.85,-0.23,3.65,22.43
SOLUSDT,TripleEMA-MTF,W10,"EMA(13/34/89) ATR×2.5",11,45.45,1.92,1.29,0.34,2.13,29.61
SOLUSDT,TripleEMA-MTF,W11,"EMA(13/34/89) ATR×1.5",3,66.67,-0.06,0.92,-0.06,0.84,0.00
SOLUSDT,TripleEMA-MTF,W12,"EMA(13/34/89) ATR×1.5",5,20.00,0.03,1.01,0.01,2.39,19.46
SOLUSDT,TripleEMA-MTF,W13,"EMA(9/34/55) ATR×1.5",25,32.00,-3.30,0.77,-0.49,6.55,18.07
SOLUSDT,Supertrend-MTF,W01,"ST(14,2.0) ATR×2.5",11,27.27,-0.20,0.98,-0.02,6.37,20.60
SOLUSDT,Supertrend-MTF,W02,"ST(7,2.0) ATR×2.5",18,27.78,-9.89,0.33,-1.80,12.72,8.68
SOLUSDT,Supertrend-MTF,W03,"ST(14,2.0) ATR×1.5",20,35.00,-9.06,0.37,-2.11,9.44,9.58
SOLUSDT,Supertrend-MTF,W04,"ST(14,3.0) ATR×2.0",7,14.29,-4.84,0.24,-1.87,4.84,5.05
SOLUSDT,Supertrend-MTF,W05,"ST(14,3.0) ATR×2.5",6,33.33,0.43,1.13,0.12,3.24,24.13
SOLUSDT,Supertrend-MTF,W06,"ST(14,3.0) ATR×2.5",12,25.00,-4.61,0.43,-1.08,4.65,11.86
SOLUSDT,Supertrend-MTF,W07,"ST(7,2.5) ATR×2.5",13,38.46,-1.94,0.77,-0.41,6.25,19.72
SOLUSDT,Supertrend-MTF,W08,"ST(7,2.5) ATR×2.5",13,23.08,-4.32,0.69,-0.55,10.49,15.47
SOLUSDT,Supertrend-MTF,W09,"ST(7,2.5) ATR×2.0",17,41.18,-3.69,0.65,-0.78,8.43,17.91
SOLUSDT,Supertrend-MTF,W10,"ST(7,3.0) ATR×2.5",8,37.50,-3.03,0.59,-0.60,4.63,17.50
SOLUSDT,Supertrend-MTF,W11,"ST(10,3.0) ATR×1.5",8,50.00,-2.45,0.39,-1.19,3.21,16.14
SOLUSDT,Supertrend-MTF,W12,"ST(10,3.0) ATR×1.5",9,22.22,0.83,1.14,0.13,4.21,22.26
SOLUSDT,Supertrend-MTF,W13,"ST(10,2.5) ATR×1.5",15,33.33,-2.40,0.76,-0.37,6.67,18.77
SOLUSDT,Donchian-MTF,W01,"Don(10) ATR×3.0",31,29.03,-23.20,0.30,-2.73,23.20,7.87
SOLUSDT,Donchian-MTF,W02,"Don(10) ATR×3.0",27,40.74,2.63,1.14,0.22,15.71,26.38
SOLUSDT,Donchian-MTF,W03,"Don(55) ATR×2.5",19,21.05,-8.07,0.62,-0.80,13.44,13.56
SOLUSDT,Donchian-MTF,W04,"Don(55) ATR×3.0",14,35.71,8.56,1.92,0.62,3.29,37.63
SOLUSDT,Donchian-MTF,W05,"Don(55) ATR×3.0",18,22.22,-8.59,0.45,-1.49,8.59,9.70
SOLUSDT,Donchian-MTF,W06,"Don(20) ATR×3.0",24,37.50,-3.82,0.81,-0.44,11.17,19.64
SOLUSDT,Donchian-MTF,W07,"Don(55) ATR×2.0",24,20.83,-10.09,0.34,-2.14,12.44,6.58
SOLUSDT,Donchian-MTF,W08,"Don(20) ATR×3.0",28,25.00,-21.05,0.34,-2.25,27.21,7.41
SOLUSDT,Donchian-MTF,W09,"Don(55) ATR×3.0",18,27.78,3.80,1.25,0.29,6.66,25.98
SOLUSDT,Donchian-MTF,W10,"Don(20) ATR×3.0",21,38.10,-4.63,0.74,-0.55,9.35,18.83
SOLUSDT,Donchian-MTF,W11,"Don(20) ATR×3.0",24,25.00,-9.76,0.50,-1.38,10.85,11.07
SOLUSDT,Donchian-MTF,W12,"Don(20) ATR×3.0",23,39.13,-5.34,0.70,-0.67,8.83,18.25
SOLUSDT,Donchian-MTF,W13,"Don(20) ATR×3.0",18,33.33,12.73,1.92,0.94,8.05,39.47
SOLUSDT,HullMA-Cross,W01,"Hull(21/34) ATR×1.5",56,32.14,-6.90,0.79,-0.61,17.34,17.80
SOLUSDT,HullMA-Cross,W02,"Hull(21/34) ATR×2.5",53,41.51,6.10,1.17,0.37,11.95,27.54
SOLUSDT,HullMA-Cross,W03,"Hull(21/34) ATR×2.5",55,25.45,-23.57,0.32,-3.50,23.75,7.33
SOLUSDT,HullMA-Cross,W04,"Hull(21/34) ATR×2.0",55,38.18,-7.39,0.75,-0.88,10.55,17.57
SOLUSDT,HullMA-Cross,W05,"Hull(21/34) ATR×1.5",58,25.86,-11.15,0.54,-1.92,12.55,9.26
SOLUSDT,HullMA-Cross,W06,"Hull(21/34) ATR×2.5",64,29.69,-21.43,0.49,-2.34,22.74,9.36
SOLUSDT,HullMA-Cross,W07,"Hull(21/55) ATR×2.5",49,18.37,-18.09,0.41,-2.77,19.73,6.58
SOLUSDT,HullMA-Cross,W08,"Hull(21/55) ATR×2.5",47,25.53,-16.45,0.48,-2.05,20.62,8.45
SOLUSDT,HullMA-Cross,W09,"Hull(21/55) ATR×2.5",39,33.33,-5.40,0.77,-0.62,10.38,17.81
SOLUSDT,HullMA-Cross,W10,"Hull(21/55) ATR×1.5",45,26.67,-6.23,0.73,-0.81,8.18,15.41
SOLUSDT,HullMA-Cross,W11,"Hull(21/55) ATR×1.5",48,25.00,-9.17,0.48,-1.70,9.53,9.59
SOLUSDT,HullMA-Cross,W12,"Hull(21/55) ATR×1.5",35,31.43,-4.85,0.77,-0.63,7.46,17.38
SOLUSDT,HullMA-Cross,W13,"Hull(16/55) ATR×2.5",52,19.23,-31.94,0.34,-3.27,31.94,6.23
SOLUSDT,Vortex-Cross,W01,"Vortex(28) ATR×1.5",63,17.46,-22.30,0.38,-2.61,22.45,6.14
SOLUSDT,Vortex-Cross,W02,"Vortex(21) ATR×2.5",56,25.00,-0.57,0.99,-0.03,17.57,20.10
SOLUSDT,Vortex-Cross,W03,"Vortex(21) ATR×2.5",71,15.49,-30.54,0.32,-3.37,35.78,5.34
SOLUSDT,Vortex-Cross,W04,"Vortex(28) ATR×2.0",57,19.30,-23.03,0.25,-4.48,23.03,5.64
SOLUSDT,Vortex-Cross,W05,"Vortex(14) ATR×1.5",77,19.48,-21.72,0.33,-3.78,21.75,6.23
SOLUSDT,Vortex-Cross,W06,"Vortex(14) ATR×1.5",85,21.18,-19.84,0.55,-1.68,20.93,9.44
SOLUSDT,Vortex-Cross,W07,"Vortex(28) ATR×2.5",69,20.29,-23.09,0.31,-3.76,25.58,6.19
SOLUSDT,Vortex-Cross,W08,"Vortex(28) ATR×2.5",60,33.33,-17.56,0.51,-1.81,22.81,11.03
