Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Score
HBARUSDT,Supertrend-MTF,W05,"ST(14,2.0) ATR×2.0",17,52.94,5.57,1.89,0.98,2.04,39.56
HBARUSDT,Supertrend-MTF,W06,"ST(7,2.0) ATR×2.5",29,34.48,4.57,1.23,0.39,7.17,27.03
HBARUSDT,Supertrend-MTF,W07,"ST(7,2.0) ATR×2.5",23,34.78,5.99,1.31,0.46,9.16,28.93
HBARUSDT,Supertrend-MTF,W08,"ST(14,2.0) ATR×2.5",16,37.50,-6.06,0.64,-0.78,9.09,17.08
HBARUSDT,Supertrend-MTF,W09,"ST(14,2.0) ATR×2.5",19,21.05,-11.35,0.30,-2.34,11.90,6.29
HBARUSDT,Supertrend-MTF,W10,"ST(14,2.0) ATR×2.5",23,34.78,-1.77,0.84,-0.33,5.23,19.80
HBARUSDT,Supertrend-MTF,W11,"ST(10,2.5) ATR×2.5",11,18.18,-4.26,0.52,-0.80,5.48,12.27
HBARUSDT,Supertrend-MTF,W12,"ST(10,2.5) ATR×2.5",15,33.33,25.52,2.86,0.83,9.20,55.46
HBARUSDT,Supertrend-MTF,W13,"ST(7,3.0) ATR×2.5",15,26.67,-16.48,0.20,-3.01,17.51,6.74
HBARUSDT,Donchian-MTF,W01,"Don(10) ATR×1.5",40,37.50,-12.72,0.58,-1.36,15.82,14.23
HBARUSDT,Donchian-MTF,W02,"Don(10) ATR×2.5",32,37.50,4.28,1.20,0.36,12.69,27.05
HBARUSDT,Donchian-MTF,W03,"Don(10) ATR×2.0",39,25.64,-16.76,0.44,-2.09,16.76,8.23
HBARUSDT,Donchian-MTF,W04,"Don(55) ATR×3.0",20,15.00,-11.69,0.44,-1.26,13.96,9.14
HBARUSDT,Donchian-MTF,W05,"Don(10) ATR×3.0",31,32.26,-11.16,0.54,-1.38,11.27,12.78
HBARUSDT,Donchian-MTF,W06,"Don(20) ATR×3.0",23,39.13,-0.17,0.99,-0.02,11.02,23.01
HBARUSDT,Donchian-MTF,W07,"Don(20) ATR×2.5",28,42.86,23.76,2.00,1.04,8.33,43.73
HBARUSDT,Donchian-MTF,W08,"Don(20) ATR×3.0",22,31.82,-14.58,0.51,-1.18,17.37,13.35
HBARUSDT,Donchian-MTF,W09,"Don(20) ATR×3.0",25,24.00,-14.61,0.29,-2.62,14.61,6.83
HBARUSDT,Donchian-MTF,W10,"Don(20) ATR×3.0",27,25.93,-12.23,0.44,-1.88,14.06,8.77
HBARUSDT,Donchian-MTF,W11,"Don(10) ATR×2.5",33,27.27,-6.37,0.71,-0.66,12.39,16.02
HBARUSDT,Donchian-MTF,W12,"Don(10) ATR×2.5",31,32.26,14.00,1.47,0.48,13.30,31.58
HBARUSDT,Donchian-MTF,W13,"Don(20) ATR×2.5",29,24.14,-19.76,0.46,-1.79,21.57,8.92
HBARUSDT,HullMA-Cross,W01,"Hull(21/55) ATR×1.5",46,26.09,-25.01,0.37,-2.68,26.10,7.80
HBARUSDT,HullMA-Cross,W02,"Hull(21/34) ATR×2.0",57,31.58,-12.17,0.66,-1.23,19.16,14.13
HBARUSDT,HullMA-Cross,W03,"Hull(16/55) ATR×2.5",50,38.00,-13.06,0.54,-1.59,17.46,13.06
HBARUSDT,HullMA-Cross,W04,"Hull(16/55) ATR×2.5",56,32.14,-26.41,0.31,-3.58,26.94,8.57
HBARUSDT,HullMA-Cross,W05,"Hull(16/55) ATR×2.0",56,26.79,-12.98,0.60,-1.48,18.01,11.77
HBARUSDT,HullMA-Cross,W06,"Hull(21/34) ATR×2.0",57,29.82,-3.30,0.89,-0.31,9.19,19.26
HBARUSDT,HullMA-Cross,W07,"Hull(21/55) ATR×1.5",43,27.91,-15.94,0.43,-2.20,18.86,8.57
HBARUSDT,HullMA-Cross,W08,"Hull(16/55) ATR×2.5",51,39.22,-3.11,0.92,-0.25,19.44,21.53
HBARUSDT,HullMA-Cross,W09,"Hull(21/55) ATR×2.5",40,15.00,-16.21,0.45,-2.04,19.81,6.18
HBARUSDT,HullMA-Cross,W10,"Hull(16/55) ATR×2.5",50,18.00,-19.77,0.39,-2.68,19.77,6.34
HBARUSDT,HullMA-Cross,W11,"Hull(21/55) ATR×2.5",50,22.00,-21.45,0.34,-3.21,22.20,6.75
HBARUSDT,HullMA-Cross,W12,"Hull(21/34) ATR×2.0",49,34.69,1.73,1.05,0.08,15.87,23.32
HBARUSDT,HullMA-Cross,W13,"Hull(16/55) ATR×2.5",47,29.79,-2.86,0.93,-0.16,24.59,20.14
