Symbol,Strategy,Direction,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL%,ExitReason,HoldingMin
ADAUSDT,TripleEMA-MTF,long,2025-03-02T21:30:00.000Z,2025-03-02T21:30:00.000Z,1.07623785,1.0613690500000001,-1.56,EMA Cross,0
ADAUSDT,TripleEMA-MTF,long,2025-03-03T07:45:00.000Z,2025-03-03T08:45:00.000Z,0.99039495,0.9817137618079657,-1.06,ATR Stop,60
ADAUSDT,TripleEMA-MTF,long,2025-03-05T02:45:00.000Z,2025-03-05T06:15:00.000Z,0.9418707,0.9792098922835085,3.78,ATR Stop,210
ADAUSDT,TripleEMA-MTF,long,2025-03-05T12:30:00.000Z,2025-03-05T15:45:00.000Z,0.9643819499999999,0.9758787543072577,1.01,ATR Stop,195
ADAUSDT,TripleEMA-MTF,short,2025-03-10T03:15:00.000Z,2025-03-10T03:45:00.000Z,0.7298349,0.7407980343267925,-1.68,ATR Stop,30
ADAUSDT,TripleEMA-MTF,short,2025-03-10T07:45:00.000Z,2025-03-10T10:00:00.000Z,0.73433265,0.7058910488305559,3.69,ATR Stop,135
ADAUSDT,TripleEMA-MTF,short,2025-03-10T16:30:00.000Z,2025-03-10T19:15:00.000Z,0.6864566,0.6663190807656404,2.75,ATR Stop,165
ADAUSDT,TripleEMA-MTF,short,2025-03-16T01:30:00.000Z,2025-03-16T02:00:00.000Z,0.73873045,0.7404530318478696,-0.41,ATR Stop,30
ADAUSDT,TripleEMA-MTF,short,2025-03-17T00:45:00.000Z,2025-03-17T01:15:00.000Z,0.71034465,0.7116079076401126,-0.36,ATR Stop,30
ADAUSDT,TripleEMA-MTF,short,2025-03-18T04:45:00.000Z,2025-03-18T09:00:00.000Z,0.7041477500000001,0.6923554785840367,1.49,ATR Stop,255
ADAUSDT,TripleEMA-MTF,short,2025-03-20T22:00:00.000Z,2025-03-21T03:45:00.000Z,0.7179408500000001,0.7149060439168987,0.24,ATR Stop,345
ADAUSDT,TripleEMA-MTF,short,2025-03-22T07:00:00.000Z,2025-03-22T10:45:00.000Z,0.7078459000000001,0.7048020250259641,0.25,ATR Stop,225
ADAUSDT,TripleEMA-MTF,short,2025-03-22T15:30:00.000Z,2025-03-22T16:30:00.000Z,0.70314825,0.7054283469069866,-0.50,ATR Stop,60
